round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
0,10,6,"[1.3821812868118286, 1.3679785430431366, 1.3900230526924133, 1.379404366016388, 1.385715276002884, 1.3690621852874756]",4,"[0.47619047619047616, 0.49206349206349204, 0.3412698412698413, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.44047619047619047,0.4633569739952719,0.46335697399527187,13.681711196899414
1,10,9,"[1.373248040676117, 1.352498471736908, 1.3574590384960175, 1.3741834461688995, 1.3698222041130066, 1.3609255850315094, 1.36931774020195, 1.368901640176773, 1.3536109924316406]",5,"[0.5079365079365079, 0.46825396825396826, 0.4603174603174603, 0.4444444444444444, 0.42063492063492064, 0.4523809523809524, 0.46825396825396826, 0.4365079365079365, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.46031746031746035,0.463356973995272,0.46335697399527187,10.768381357192993
2,9,6,"[1.3512381315231323, 1.344069391489029, 1.3501464426517487, 1.369486540555954, 1.356453537940979, 1.3459299206733704]",8,"[0.46825396825396826, 0.48412698412698413, 0.47619047619047616, 0.36507936507936506, 0.42063492063492064, 0.5317460317460317]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46382978723404256, 0.46335697399527187]",0.4576719576719576,0.4635145784081954,0.46335697399527187,9.857234954833984
3,9,7,"[1.3685616254806519, 1.3310791850090027, 1.325954109430313, 1.317884385585785, 1.3257841169834137, 1.3383512198925018, 1.3264711201190948]",10,"[0.4126984126984127, 0.46825396825396826, 0.5, 0.46825396825396826, 0.5158730158730159, 0.48412698412698413, 0.47619047619047616]","[0.46335697399527187, 0.475177304964539, 0.47423167848699765, 0.4723404255319149, 0.4699763593380615, 0.48936170212765956, 0.4808510638297872]",0.47505668934240364,0.4750422154677474,0.4728132387706856,11.91529655456543
4,9,10,"[1.382303923368454, 1.3798332810401917, 1.3301546275615692, 1.321432650089264, 1.303923636674881, 1.322917640209198, 1.3091748654842377, 1.308185189962387, 1.3310908675193787, 1.3277319371700287]",9,"[0.4603174603174603, 0.4444444444444444, 0.6031746031746031, 0.5555555555555556, 0.5555555555555556, 0.5952380952380952, 0.5793650793650794, 0.5476190476190477, 0.5952380952380952, 0.6031746031746031]","[0.46335697399527187, 0.46335697399527187, 0.6066193853427896, 0.5721040189125296, 0.5517730496453901, 0.601418439716312, 0.5635933806146572, 0.5678486997635934, 0.6, 0.5938534278959811]",0.5539682539682539,0.5583924349881796,0.5905437352245863,10.399178266525269
5,7,4,"[1.3308239579200745, 1.2944717109203339, 1.3119043111801147, 1.2819227576255798]",12,"[0.5, 0.746031746031746, 0.6825396825396826, 0.6984126984126984]","[0.47470449172576834, 0.7130023640661939, 0.7271867612293145, 0.6969267139479906]",0.6567460317460317,0.6529550827423167,0.6973995271867612,9.13417911529541
6,10,10,"[1.354437917470932, 1.2776090502738953, 1.2747671902179718, 1.2689751982688904, 1.2703841030597687, 1.2773766815662384, 1.2827613651752472, 1.2979561388492584, 1.287519633769989, 1.2754954099655151]",12,"[0.6111111111111112, 0.7380952380952381, 0.7936507936507936, 0.7777777777777778, 0.8174603174603174, 0.8174603174603174, 0.8492063492063492, 0.873015873015873, 0.7936507936507936, 0.7936507936507936]","[0.46335697399527187, 0.6969267139479906, 0.7891252955082743, 0.7829787234042553, 0.7914893617021277, 0.7900709219858156, 0.8014184397163121, 0.816548463356974, 0.7886524822695036, 0.7905437352245863]",0.7865079365079364,0.7511111111111111,0.789598108747045,12.072025299072266
7,10,10,"[1.2876208126544952, 1.257566124200821, 1.2645341753959656, 1.2595521211624146, 1.2528102695941925, 1.2461949288845062, 1.255668729543686, 1.27225261926651, 1.2539724707603455, 1.268098384141922]",12,"[0.6984126984126984, 0.8412698412698413, 0.8015873015873016, 0.873015873015873, 0.8888888888888888, 0.8492063492063492, 0.8968253968253969, 0.8888888888888888, 0.8412698412698413, 0.8968253968253969]","[0.7049645390070922, 0.8704491725768322, 0.8671394799054374, 0.8609929078014185, 0.8595744680851064, 0.851063829787234, 0.8685579196217494, 0.8756501182033097, 0.8534278959810875, 0.873758865248227]",0.8476190476190475,0.8485579196217495,0.8605200945626478,10.283698081970215
8,10,13,"[1.3368029296398163, 1.3337900638580322, 1.3266041576862335, 1.2817436456680298, 1.2285553812980652, 1.2305123209953308, 1.234785556793213, 1.2496780157089233, 1.2332790791988373, 1.2544747292995453, 1.2572992742061615, 1.2612541317939758, 1.2442642152309418]",9,"[0.5, 0.49206349206349204, 0.5873015873015873, 0.8412698412698413, 0.9126984126984127, 0.9047619047619048, 0.8968253968253969, 0.9365079365079365, 0.9285714285714286, 0.8809523809523809, 0.8809523809523809, 0.8968253968253969, 0.9206349206349206]","[0.46335697399527187, 0.4808510638297872, 0.6009456264775414, 0.8789598108747045, 0.9044917257683215, 0.908274231678487, 0.9078014184397163, 0.9186761229314421, 0.908274231678487, 0.9111111111111111, 0.9196217494089834, 0.9205673758865248, 0.9125295508274232]",0.8137973137973139,0.8181123840698311,0.9111111111111111,14.028672933578491
9,9,7,"[1.3716161847114563, 1.3428212702274323, 1.2280529737472534, 1.225505918264389, 1.2098358571529388, 1.2197406888008118, 1.212281972169876]",11,"[0.3968253968253968, 0.49206349206349204, 0.9047619047619048, 0.9603174603174603, 0.9523809523809523, 0.9365079365079365, 0.9920634920634921]","[0.46335697399527187, 0.4988179669030733, 0.9385342789598109, 0.9385342789598109, 0.9385342789598109, 0.9375886524822695, 0.9371158392434988]",0.8049886621315193,0.8074974670719353,0.9380614657210402,12.572316646575928
