round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
0,10,10,"[1.3821812868118286, 1.354437917470932, 1.382303923368454, 1.3798332810401917, 1.3679785430431366, 1.3900230526924133, 1.379404366016388, 1.385715276002884, 1.3690621852874756, 1.373248040676117]",0,"[0.47619047619047616, 0.6111111111111112, 0.4603174603174603, 0.4444444444444444, 0.49206349206349204, 0.3412698412698413, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413, 0.5079365079365079]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4666666666666667,0.463356973995272,0.46335697399527187,13.05992341041565
1,10,10,"[1.3524717688560486, 1.357467532157898, 1.3742821216583252, 1.3698829114437103, 1.3609332740306854, 1.369427353143692, 1.3689604997634888, 1.3717501759529114, 1.3536466360092163, 1.3686488568782806]",0,"[0.46825396825396826, 0.4603174603174603, 0.4444444444444444, 0.42063492063492064, 0.4523809523809524, 0.46825396825396826, 0.4365079365079365, 0.3968253968253968, 0.48412698412698413, 0.4126984126984127]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4444444444444445,0.463356973995272,0.46335697399527187,8.980174541473389
2,10,10,"[1.3519058525562286, 1.350291669368744, 1.3467584252357483, 1.342960685491562, 1.3492086827754974, 1.3376001417636871, 1.3687456548213959, 1.33567675948143, 1.3556780815124512, 1.344899296760559]",0,"[0.4603174603174603, 0.46825396825396826, 0.49206349206349204, 0.48412698412698413, 0.47619047619047616, 0.5079365079365079, 0.36507936507936506, 0.5, 0.42063492063492064, 0.5317460317460317]","[0.46382978723404256, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46335697399527187, 0.46382978723404256, 0.46335697399527187]",0.47063492063492063,0.46349881796690307,0.46335697399527187,9.262157678604126
3,10,10,"[1.3465096354484558, 1.3249503672122955, 1.3164134919643402, 1.349890023469925, 1.3420944213867188, 1.3252838850021362, 1.33574178814888, 1.3346892893314362, 1.3364266753196716, 1.3324494659900665]",0,"[0.3888888888888889, 0.5079365079365079, 0.5, 0.42857142857142855, 0.4444444444444444, 0.49206349206349204, 0.47619047619047616, 0.49206349206349204, 0.47619047619047616, 0.48412698412698413]","[0.5002364066193853, 0.4732860520094563, 0.4761229314420804, 0.502127659574468, 0.49361702127659574, 0.4756501182033097, 0.4874704491725768, 0.4851063829787234, 0.4794326241134752, 0.4803782505910166]",0.46904761904761905,0.4853427895981087,0.48557919621749407,9.131998062133789
4,10,10,"[1.3111019730567932, 1.3336879014968872, 1.3226736783981323, 1.3215466439723969, 1.3224845826625824, 1.2996677458286285, 1.3157256245613098, 1.300937831401825, 1.3252545297145844, 1.3011990189552307]",0,"[0.5952380952380952, 0.5714285714285714, 0.6587301587301587, 0.5634920634920635, 0.5714285714285714, 0.5952380952380952, 0.6031746031746031, 0.6190476190476191, 0.6111111111111112, 0.5873015873015873]","[0.5976359338061465, 0.6439716312056738, 0.6321513002364066, 0.6293144208037825, 0.624113475177305, 0.5947990543735224, 0.6070921985815603, 0.5981087470449172, 0.6264775413711584, 0.5891252955082742]",0.5976190476190475,0.6142789598108747,0.6170212765957447,9.213361501693726
5,10,10,"[1.288098931312561, 1.2838535904884338, 1.3024303615093231, 1.2603133916854858, 1.2856314182281494, 1.28843092918396, 1.2926735877990723, 1.308969795703888, 1.2839329540729523, 1.2888652682304382]",0,"[0.7301587301587301, 0.6746031746031746, 0.7936507936507936, 0.7619047619047619, 0.7142857142857143, 0.7936507936507936, 0.7619047619047619, 0.7063492063492064, 0.6984126984126984, 0.7698412698412699]","[0.715839243498818, 0.733806146572104, 0.7541371158392435, 0.6775413711583924, 0.7238770685579197, 0.7319148936170212, 0.7314420803782505, 0.7446808510638298, 0.7200945626477542, 0.7361702127659574]",0.7404761904761905,0.7269503546099291,0.7304964539007093,9.286855220794678
6,10,10,"[1.2882195115089417, 1.2629494965076447, 1.2699633240699768, 1.2898317277431488, 1.2772669792175293, 1.291689544916153, 1.2866601645946503, 1.2738626301288605, 1.2785418331623077, 1.2707239389419556]",0,"[0.8412698412698413, 0.8015873015873016, 0.8492063492063492, 0.8095238095238095, 0.7777777777777778, 0.8412698412698413, 0.8650793650793651, 0.8333333333333334, 0.8095238095238095, 0.8174603174603174]","[0.8302600472813239, 0.8014184397163121, 0.8080378250591016, 0.840661938534279, 0.8151300236406619, 0.8378250591016548, 0.8278959810874704, 0.8118203309692671, 0.8160756501182033, 0.8170212765957446]",0.8246031746031746,0.8206146572104019,0.8193853427895981,9.424781322479248
7,10,10,"[1.2404117584228516, 1.243998944759369, 1.2647253274917603, 1.245911866426468, 1.2482846677303314, 1.2153682112693787, 1.2582520246505737, 1.264461874961853, 1.2410877645015717, 1.2562106549739838]",0,"[0.8968253968253969, 0.8650793650793651, 0.8809523809523809, 0.8492063492063492, 0.8650793650793651, 0.9444444444444444, 0.8492063492063492, 0.8571428571428571, 0.9126984126984127, 0.8968253968253969]","[0.8775413711583925, 0.8799054373522459, 0.8898345153664302, 0.8817966903073287, 0.8869976359338061, 0.8553191489361702, 0.8907801418439716, 0.8851063829787233, 0.8822695035460993, 0.881323877068558]",0.8817460317460318,0.8810874704491726,0.8794326241134752,10.6513192653656
8,10,10,"[1.234226942062378, 1.2160573601722717, 1.22605761885643, 1.2768556475639343, 1.2513699531555176, 1.2583562433719635, 1.2229739129543304, 1.255383461713791, 1.24781733751297, 1.2110186219215393]",0,"[0.9126984126984127, 0.8968253968253969, 0.9523809523809523, 0.9126984126984127, 0.9126984126984127, 0.9126984126984127, 0.9206349206349206, 0.9126984126984127, 0.9047619047619048, 0.9126984126984127]","[0.924822695035461, 0.9224586288416076, 0.9196217494089834, 0.933806146572104, 0.9333333333333333, 0.9309692671394799, 0.9153664302600473, 0.9252955082742317, 0.9215130023640662, 0.9177304964539007]",0.9150793650793652,0.9244917257683214,0.924822695035461,10.168872833251953
9,10,10,"[1.2311593294143677, 1.2205961644649506, 1.2078465521335602, 1.2256073951721191, 1.219500482082367, 1.206666886806488, 1.221970021724701, 1.2282131612300873, 1.2159641087055206, 1.2227333188056946]",0,"[0.9206349206349206, 0.9682539682539683, 0.9444444444444444, 0.9206349206349206, 0.9047619047619048, 0.9126984126984127, 0.9444444444444444, 0.9365079365079365, 0.9603174603174603, 0.9444444444444444]","[0.9484633569739953, 0.9451536643026005, 0.9437352245862884, 0.9470449172576832, 0.9470449172576832, 0.9451536643026005, 0.9470449172576832, 0.9427895981087471, 0.9446808510638298, 0.9470449172576832]",0.9357142857142857,0.9458156028368794,0.9456264775413712,9.43814992904663
