round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6958815455436707,0.5805554986000061,0.5006666779518127,0.5805554986000061,0.5805554986000061,0,0,0.5,7.448191165924072
1,96,74,68,6,0,74,0.6830316185951233,0.6202702522277832,0.5065743327140808,0.6202702522277832,0.6202702522277832,0,0,0.5,21.97453737258911
2,96,59,56,3,0,59,0.6715344190597534,0.6593220829963684,0.5099492073059082,0.6593220829963684,0.6593220829963684,0,0,0.5,12.343206644058228
3,90,50,47,3,0,50,0.6570369005203247,0.6660000085830688,0.5213499665260315,0.6660000085830688,0.6660000085830688,0,0,0.5,12.068558931350708
4,80,40,34,6,0,40,0.6469690203666687,0.6499999761581421,0.5329874753952026,0.6499999761581421,0.6499999761581421,0,0,0.502,15.622787475585938
5,84,66,57,9,0,66,0.6373687386512756,0.6621212363243103,0.5268560647964478,0.6621212363243103,0.6621212363243103,0,0,0.5015,18.446372509002686
6,83,37,30,7,0,37,0.6485234498977661,0.6729729771614075,0.5229460000991821,0.6729729771614075,0.6729729771614075,0,0,0.5,10.437628984451294
7,73,44,37,7,0,44,0.6339373588562012,0.6886363625526428,0.553318202495575,0.6886363625526428,0.6886363625526428,0,0,0.517,16.835179805755615
8,61,21,8,13,0,21,0.6362927556037903,0.6952380537986755,0.5298333168029785,0.6952380537986755,0.6952380537986755,0,0,0.5435,8.740252256393433
9,60,6,0,6,0,6,0.6421033143997192,0.5833333730697632,0.5035833120346069,0.5833333730697632,0.5833333730697632,0,0,0.5,4.702606439590454
10,61,15,4,11,0,15,0.6513561010360718,0.6200000047683716,0.5073666572570801,0.6200000047683716,0.6200000047683716,0,0,0.5,5.341699838638306
11,55,48,34,14,0,48,0.6421448588371277,0.6520833373069763,0.5311771035194397,0.6520833373069763,0.6520833373069763,0,0,0.5015,12.041360855102539
12,55,19,0,19,0,19,0.6476145386695862,0.705263078212738,0.523078978061676,0.705263078212738,0.705263078212738,0,0,0.5085,7.0492894649505615
13,61,20,0,20,0,20,0.6372759938240051,0.6799999475479126,0.5199999809265137,0.6799999475479126,0.6799999475479126,0,0,0.502,16.177781343460083
14,44,25,0,25,0,25,0.6375122666358948,0.6639999151229858,0.5479000210762024,0.6639999151229858,0.6639999151229858,0,0,0.5,7.467758655548096
15,47,27,0,27,0,27,0.6278348565101624,0.6185185313224792,0.5127036571502686,0.6185185313224792,0.6185185313224792,0,0,0.506,9.355076313018799
16,43,38,11,27,0,38,0.6282989978790283,0.692105233669281,0.5451052188873291,0.692105233669281,0.692105233669281,0,0,0.5135,13.700500249862671
17,47,37,20,17,0,37,0.6081099510192871,0.6810811161994934,0.550513505935669,0.6810811161994934,0.6810811161994934,0,0,0.52,14.295692682266235
18,45,44,16,28,0,44,0.6310579180717468,0.6590909361839294,0.5250340700149536,0.6590909361839294,0.6590909361839294,0,0,0.5,20.141667366027832
19,50,52,24,28,0,52,0.6261768937110901,0.6557692289352417,0.5514808297157288,0.6557692289352417,0.6557692289352417,0,0,0.5275,21.585264921188354
20,44,37,1,36,0,37,0.641294538974762,0.6270270347595215,0.5331891775131226,0.6270270347595215,0.6270270347595215,0,0,0.5,14.903489351272583
21,44,24,0,24,0,24,0.6277968287467957,0.699999988079071,0.5482916235923767,0.699999988079071,0.699999988079071,0,0,0.5235,12.496419906616211
22,44,45,17,28,0,45,0.631907045841217,0.6200000047683716,0.5320888161659241,0.6200000047683716,0.6200000047683716,0,0,0.508,9.669816970825195
23,31,36,0,36,0,36,0.6309718489646912,0.6944444179534912,0.5388055443763733,0.6944444179534912,0.6944444179534912,0,0,0.5255,9.70194125175476
24,40,38,0,38,0,38,0.6402217745780945,0.6473683714866638,0.5208026170730591,0.6473683714866638,0.6473683714866638,0,0,0.5035,12.071499109268188
25,48,50,9,41,0,50,0.6294229626655579,0.6540000438690186,0.5379199981689453,0.6540000438690186,0.6540000438690186,0,0,0.5125,23.070968866348267
26,41,55,15,40,0,55,0.6380457282066345,0.6599999070167542,0.5415909290313721,0.6599999070167542,0.6599999070167542,0,0,0.5125,25.489364624023438
27,40,35,0,35,0,35,0.6362612843513489,0.6514285206794739,0.5200856924057007,0.6514285206794739,0.6514285206794739,0,0,0.5075,11.061554670333862
28,44,47,6,41,0,47,0.6323081254959106,0.6425531506538391,0.5210958123207092,0.6425531506538391,0.6425531506538391,0,0,0.5,19.340648412704468
29,37,48,11,37,0,48,0.6246156692504883,0.6875,0.5532603859901428,0.6875,0.6875,0,0,0.508,21.30204153060913
30,38,37,0,37,0,37,0.6222217679023743,0.6567568182945251,0.5427026748657227,0.6567568182945251,0.6567568182945251,0,0,0.517,37.120229959487915
31,46,70,20,50,0,70,0.6293550729751587,0.6785714030265808,0.5356000065803528,0.6785714030265808,0.6785714030265808,0,0,0.5,29.45628523826599
32,50,58,24,34,0,58,0.6213055849075317,0.718965470790863,0.5485517382621765,0.718965470790863,0.718965470790863,0,0,0.5,26.349360466003418
33,50,62,25,37,0,62,0.6100636124610901,0.6887096762657166,0.5513951182365417,0.6887096762657166,0.6887096762657166,0,0,0.5085,19.316654205322266
34,52,32,0,32,0,32,0.6252136826515198,0.6343749761581421,0.5320156812667847,0.6343749761581421,0.6343749761581421,0,0,0.511,8.162435293197632
