round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,11,25,0.6904186606407166,0.5046296119689941,0.46335697174072266,0.48666664958000183,0.48666664958000183,0.5454545021057129,0.46335697174072266,0.46335697399527187,0.06252598762512207
1,97,75,69,6,23,52,0.6924440264701843,0.47333332896232605,0.46335694193840027,0.4423076808452606,0.4423076808452606,0.5434783101081848,0.46335697174072266,0.46335697399527187,0.10704469680786133
2,92,55,52,3,21,34,0.6933006048202515,0.46515148878097534,0.46335694193840027,0.43382352590560913,0.43382352590560913,0.5158730745315552,0.46335697174072266,0.46335697399527187,0.09361624717712402
3,91,51,48,3,11,40,0.6891226768493652,0.48366016149520874,0.46335700154304504,0.4541666507720947,0.4541666507720947,0.5909090638160706,0.46335697174072266,0.46335697399527187,0.08491110801696777
4,88,59,53,6,14,45,0.6873384714126587,0.508474588394165,0.46335700154304504,0.4888888895511627,0.4888888895511627,0.5714285969734192,0.46335697174072266,0.46335697399527187,0.09347963333129883
5,86,29,20,9,11,18,0.6929196119308472,0.4568965435028076,0.46335697174072266,0.4490741193294525,0.4490741193294525,0.4696969985961914,0.46335697174072266,0.46335697399527187,0.04900240898132324
6,78,54,48,6,21,33,0.6913436055183411,0.49382713437080383,0.46335697174072266,0.43686866760253906,0.43686866760253906,0.5833333134651184,0.46335697174072266,0.46335697399527187,0.12798166275024414
7,67,57,46,11,16,41,0.6896868348121643,0.47660818696022034,0.46335703134536743,0.4593495726585388,0.4593495726585388,0.5208333730697632,0.46335697174072266,0.46335697399527187,0.1026456356048584
8,71,29,18,11,9,20,0.6891689300537109,0.48275861144065857,0.46335697174072266,0.46666663885116577,0.46666663885116577,0.5185185670852661,0.46335697174072266,0.46335697399527187,0.06690692901611328
9,70,22,18,4,7,15,0.6910849213600159,0.47727271914482117,0.46335697174072266,0.42222219705581665,0.42222219705581665,0.5952380895614624,0.46335697174072266,0.46335697399527187,0.09367680549621582
10,61,15,0,15,6,9,0.6917199492454529,0.4888888895511627,0.46335697174072266,0.4259259104728699,0.4259259104728699,0.5833333134651184,0.46335697174072266,0.46335697399527187,0.06520986557006836
11,62,14,0,14,3,11,0.6935463547706604,0.4226190447807312,0.46335697174072266,0.3863636255264282,0.3863636255264282,0.5555555820465088,0.46335697174072266,0.46335697399527187,0.049078941345214844
12,54,22,3,19,7,15,0.6920126676559448,0.4696969985961914,0.46335697174072266,0.4555555582046509,0.4555555582046509,0.5,0.46335697174072266,0.46335697399527187,0.07221794128417969
13,54,17,0,17,5,12,0.6842160820960999,0.5441176891326904,0.46335697174072266,0.5277777910232544,0.5277777910232544,0.5833333730697632,0.46335697174072266,0.46335697399527187,0.1645946502685547
