round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6899540424346924,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,1.5327799320220947
1,93,71,65,6,0,71,0.6858446002006531,0.48591548204421997,0.46335697174072266,0.48591548204421997,0.48591548204421997,0,0,0.46335697399527187,2.4203410148620605
2,93,56,53,3,0,56,0.683894693851471,0.4732142984867096,0.46335703134536743,0.4732142984867096,0.4732142984867096,0,0,0.46335697399527187,6.053737640380859
3,97,57,54,3,0,57,0.6811216473579407,0.46929824352264404,0.46335703134536743,0.46929824352264404,0.46929824352264404,0,0,0.46335697399527187,5.615904808044434
4,84,52,46,6,0,52,0.6802542805671692,0.4503205120563507,0.46335697174072266,0.4503205120563507,0.4503205120563507,0,0,0.46335697399527187,2.157569408416748
5,81,25,15,10,0,25,0.6763141751289368,0.49000003933906555,0.46335697174072266,0.49000003933906555,0.49000003933906555,0,0,0.46335697399527187,0.8722481727600098
6,74,52,44,8,0,52,0.6733026504516602,0.45673078298568726,0.4634842872619629,0.45673078298568726,0.45673078298568726,0,0,0.46335697399527187,1.7492926120758057
7,73,64,52,12,0,64,0.6692924499511719,0.4661458134651184,0.46463507413864136,0.4661458134651184,0.4661458134651184,0,0,0.46430260047281324,6.081273555755615
8,70,46,34,12,0,46,0.6683726906776428,0.47644925117492676,0.4708602726459503,0.47644925117492676,0.47644925117492676,0,0,0.47092198581560285,1.4685282707214355
9,67,21,15,6,0,21,0.663066565990448,0.5476189851760864,0.48524144291877747,0.5476189851760864,0.5476189851760864,0,0,0.4907801418439716,2.0384256839752197
10,64,29,13,16,0,29,0.6726750731468201,0.48563218116760254,0.5018505454063416,0.48563218116760254,0.48563218116760254,0,0,0.5437352245862884,0.6143300533294678
11,57,11,0,11,0,11,0.6721969842910767,0.4469697177410126,0.4909520447254181,0.4469697177410126,0.4469697177410126,0,0,0.5437352245862884,0.003618478775024414
12,54,47,31,16,0,47,0.6596866846084595,0.5815602540969849,0.5675166845321655,0.5815602540969849,0.5815602540969849,0,0,0.6137115839243499,1.1965792179107666
13,56,41,22,19,0,41,0.6605469584465027,0.5813008546829224,0.5848814845085144,0.5813008546829224,0.5813008546829224,0,0,0.6680851063829787,1.121490716934204
14,54,22,0,22,0,22,0.6693059802055359,0.553030252456665,0.5191488862037659,0.553030252456665,0.553030252456665,0,0,0.6680851063829787,0.005280494689941406
15,48,48,23,25,0,48,0.6553773283958435,0.6354166865348816,0.6200847029685974,0.6354166865348816,0.6354166865348816,0,0,0.7205673758865249,1.1994497776031494
16,44,25,3,22,0,25,0.6651862859725952,0.5566666722297668,0.5451725721359253,0.5566666722297668,0.5566666722297668,0,0,0.7716312056737589,0.8870909214019775
17,42,29,15,14,0,29,0.6533036231994629,0.6839079856872559,0.6866063475608826,0.6839079856872559,0.6839079856872559,0,0,0.8113475177304964,0.7038800716400146
18,46,25,7,18,0,25,0.6556339263916016,0.6600000262260437,0.6396406292915344,0.6600000262260437,0.6600000262260437,0,0,0.8458628841607565,0.45848941802978516
19,58,61,32,29,0,61,0.6420750021934509,0.7499999403953552,0.7244506478309631,0.7499999403953552,0.7499999403953552,0,0,0.873758865248227,1.4311707019805908
20,46,43,16,27,0,43,0.6498034596443176,0.7306201457977295,0.6888778805732727,0.7306201457977295,0.7306201457977295,0,0,0.8988179669030733,0.6099772453308105
21,39,22,0,22,0,22,0.65671706199646,0.6287879347801208,0.6009456515312195,0.6287879347801208,0.6287879347801208,0,0,0.8988179669030733,0.004143238067626953
22,47,29,0,29,0,29,0.659410297870636,0.5948275923728943,0.5790983438491821,0.5948275923728943,0.5948275923728943,0,0,0.8988179669030733,0.0034329891204833984
23,42,33,0,33,0,33,0.6572007536888123,0.5858585238456726,0.5749838948249817,0.5858585238456726,0.5858585238456726,0,0,0.8988179669030733,0.005142927169799805
24,43,45,2,43,0,45,0.656968891620636,0.5944443941116333,0.603204607963562,0.5944443941116333,0.5944443941116333,0,0,0.9030732860520094,0.09019875526428223
25,39,36,0,36,0,36,0.6550258994102478,0.6712962985038757,0.6559363603591919,0.6712962985038757,0.6712962985038757,0,0,0.9030732860520094,0.005069255828857422
26,45,36,0,36,0,36,0.6619510054588318,0.6203703880310059,0.6367217898368835,0.6203703880310059,0.6203703880310059,0,0,0.9030732860520094,0.0029039382934570312
27,45,36,0,36,0,36,0.6461724638938904,0.701388955116272,0.6658129692077637,0.701388955116272,0.701388955116272,0,0,0.9030732860520094,0.002838611602783203
28,41,49,15,34,0,49,0.6356939077377319,0.7755101323127747,0.7436676621437073,0.7755101323127747,0.7755101323127747,0,0,0.9153664302600473,2.14339542388916
29,45,54,13,41,0,54,0.6368876695632935,0.7731481194496155,0.7623412609100342,0.7731481194496155,0.7731481194496155,0,0,0.9314420803782506,0.7424566745758057
30,38,47,12,35,0,47,0.6231657266616821,0.8031915426254272,0.8119913339614868,0.8031915426254272,0.8031915426254272,0,0,0.9380614657210402,0.5989162921905518
31,35,50,0,50,0,50,0.6424839496612549,0.7200000286102295,0.7073853015899658,0.7200000286102295,0.7200000286102295,0,0,0.9380614657210402,0.004133701324462891
32,41,57,17,40,0,57,0.6297663450241089,0.780701756477356,0.7784662842750549,0.780701756477356,0.780701756477356,0,0,0.9451536643026005,0.6334521770477295
33,41,40,0,40,0,40,0.6391406059265137,0.7479166388511658,0.7295626401901245,0.7479166388511658,0.7479166388511658,0,0,0.9451536643026005,0.003922939300537109
34,38,52,18,34,0,52,0.6200012564659119,0.8060897588729858,0.8117476105690002,0.8060897588729858,0.8060897588729858,0,0,0.9517730496453901,2.1130194664001465
35,50,36,0,36,0,36,0.6377335786819458,0.7685186266899109,0.776267409324646,0.7685186266899109,0.7685186266899109,0,0,0.9517730496453901,0.003815174102783203
36,53,33,0,33,0,33,0.6291424036026001,0.7878788709640503,0.7955727577209473,0.7878788709640503,0.7878788709640503,0,0,0.9517730496453901,0.0054285526275634766
37,46,63,19,44,0,63,0.6126814484596252,0.8809523582458496,0.8668392300605774,0.8809523582458496,0.8809523582458496,0,0,0.9607565011820332,0.9060907363891602
38,53,41,0,41,0,41,0.6169807314872742,0.8760161995887756,0.8372830748558044,0.8760161995887756,0.8760161995887756,0,0,0.9607565011820332,0.0028929710388183594
39,51,67,30,37,0,67,0.6092649102210999,0.9079602360725403,0.9063971042633057,0.9079602360725403,0.9079602360725403,0,0,0.9654846335697399,1.2374930381774902
40,48,31,0,31,0,31,0.615950345993042,0.8736559152603149,0.8518722057342529,0.8736559152603149,0.8736559152603149,0,0,0.9654846335697399,0.0034606456756591797
41,53,37,3,34,0,37,0.606514573097229,0.9301801919937134,0.916951060295105,0.9301801919937134,0.9301801919937134,0,0,0.9711583924349881,0.5183134078979492
42,39,65,18,47,0,65,0.6026065945625305,0.9115385413169861,0.9181742072105408,0.9115385413169861,0.9115385413169861,0,0,0.9735224586288416,2.4112281799316406
43,44,54,13,41,0,54,0.6041182279586792,0.9367283582687378,0.9266789555549622,0.9367283582687378,0.9367283582687378,0,0,0.9749408983451536,0.5596978664398193
44,45,40,0,40,0,40,0.6002680063247681,0.9291666746139526,0.936761200428009,0.9291666746139526,0.9291666746139526,0,0,0.9749408983451536,0.007081270217895508
45,47,31,0,31,0,31,0.6045270562171936,0.9381720423698425,0.9318690299987793,0.9381720423698425,0.9381720423698425,0,0,0.9749408983451536,0.004674434661865234
46,37,42,0,42,0,42,0.600321888923645,0.9424603581428528,0.9374647736549377,0.9424603581428528,0.9424603581428528,0,0,0.9749408983451536,0.0039899349212646484
47,55,57,13,44,0,57,0.6015034317970276,0.9225146174430847,0.9433287382125854,0.9225146174430847,0.9225146174430847,0,0,0.9782505910165484,0.7848842144012451
48,58,42,2,40,0,42,0.5920401215553284,0.944444477558136,0.9475515484809875,0.944444477558136,0.944444477558136,0,0,0.9796690307328605,0.09175300598144531
49,42,41,0,41,0,41,0.5929863452911377,0.9593495726585388,0.9490054249763489,0.9593495726585388,0.9593495726585388,0,0,0.9796690307328605,0.003520965576171875
50,48,37,0,37,0,37,0.5904785990715027,0.9572072625160217,0.948118269443512,0.9572072625160217,0.9572072625160217,0,0,0.9796690307328605,0.0042285919189453125
51,44,49,17,32,0,49,0.5798960328102112,0.9591837525367737,0.9634389877319336,0.9591837525367737,0.9591837525367737,0,0,0.9820330969267139,0.7367761135101318
52,44,57,9,48,0,57,0.5797496438026428,0.9663743376731873,0.9551076292991638,0.9663743376731873,0.9663743376731873,0,0,0.9820330969267139,0.5536389350891113
53,43,42,0,42,0,42,0.5888323187828064,0.9583333134651184,0.9587526917457581,0.9583333134651184,0.9583333134651184,0,0,0.9820330969267139,0.0038602352142333984
54,52,58,17,41,0,58,0.5741914510726929,0.9669540524482727,0.9648569226264954,0.9669540524482727,0.9669540524482727,0,0,0.9825059101654846,0.7077863216400146
55,47,54,16,38,0,54,0.5697759985923767,0.9768518805503845,0.9721828699111938,0.9768518805503845,0.9768518805503845,0,0,0.983451536643026,0.6840050220489502
56,48,38,0,38,0,38,0.5734354257583618,0.9692981839179993,0.9672016501426697,0.9692981839179993,0.9692981839179993,0,0,0.983451536643026,0.002763032913208008
57,44,62,18,44,0,62,0.5629667639732361,0.971774160861969,0.9728894829750061,0.971774160861969,0.971774160861969,0,0,0.9843971631205674,0.6793625354766846
58,37,33,0,33,0,33,0.5752377510070801,0.9823232889175415,0.9728347063064575,0.9823232889175415,0.9823232889175415,0,0,0.9843971631205674,0.0069997310638427734
59,49,65,23,42,0,65,0.5560691356658936,0.9769230484962463,0.9767957925796509,0.9769230484962463,0.9769230484962463,0,0,0.9853427895981087,3.1686320304870605
60,56,36,8,28,0,36,0.553842306137085,0.9745370149612427,0.9749802350997925,0.9745370149612427,0.9745370149612427,0,0,0.9853427895981087,0.5107603073120117
61,42,45,2,43,0,45,0.5628750920295715,0.9685185551643372,0.9738061428070068,0.9685185551643372,0.9685185551643372,0,0,0.9862884160756501,0.09239983558654785
62,43,35,0,35,0,35,0.5659835338592529,0.9761905074119568,0.9751974940299988,0.9761905074119568,0.9761905074119568,0,0,0.9862884160756501,0.0029435157775878906
63,48,41,4,37,0,41,0.549209713935852,0.9735773801803589,0.9785619378089905,0.9735773801803589,0.9735773801803589,0,0,0.9872340425531915,0.3720407485961914
64,45,55,24,31,0,55,0.5368821024894714,0.9787878394126892,0.9839587211608887,0.9787878394126892,0.9787878394126892,0,0,0.9877068557919622,3.0299487113952637
65,48,68,17,51,0,68,0.5435353517532349,0.9754902124404907,0.9807398319244385,0.9754902124404907,0.9754902124404907,0,0,0.9891252955082742,0.7320647239685059
66,56,63,28,35,0,63,0.5357272624969482,0.9894179701805115,0.9839318990707397,0.9894179701805115,0.9894179701805115,0,0,0.9914893617021276,1.1655008792877197
67,47,55,19,36,0,55,0.5394226312637329,0.9878787398338318,0.9831334352493286,0.9878787398338318,0.9878787398338318,0,0,0.9914893617021276,0.7413146495819092
68,53,51,16,35,0,51,0.5345300436019897,0.9918301105499268,0.9846937656402588,0.9918301105499268,0.9918301105499268,0,0,0.9914893617021276,0.5940563678741455
69,45,38,14,24,0,38,0.5431896448135376,0.9780701994895935,0.983625590801239,0.9780701994895935,0.9780701994895935,0,0,0.9919621749408983,0.7615628242492676
70,54,43,0,43,0,43,0.5451432466506958,0.9806200861930847,0.9822860360145569,0.9806200861930847,0.9806200861930847,0,0,0.9919621749408983,0.0026543140411376953
71,50,58,17,41,0,58,0.5309439301490784,0.9870689511299133,0.9860602021217346,0.9870689511299133,0.9870689511299133,0,0,0.9919621749408983,0.7986068725585938
72,53,59,28,31,0,59,0.5066313743591309,0.9774011969566345,0.990135133266449,0.9774011969566345,0.9774011969566345,0,0,0.9929078014184397,1.048386812210083
73,47,65,26,39,0,65,0.5158483982086182,0.9833333492279053,0.988121509552002,0.9833333492279053,0.9833333492279053,0,0,0.9933806146572104,1.3698689937591553
