round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score
0,10,6,"[1.382181167602539, 1.3679786026477814, 1.373536467552185, 1.3794043958187103, 1.3857151865959167, 1.369062215089798]",4,"[0.47619047619047616, 0.49206349206349204, 0.6587301587301587, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.49338624338624343,0.4633569739952719,0.46335697399527187
1,10,10,"[1.373248040676117, 1.353857696056366, 1.4033391177654266, 1.3755096197128296, 1.3930357694625854, 1.3621276319026947, 1.3707145154476166, 1.3927038311958313, 1.37287238240242, 1.3934706449508667]",4,"[0.5079365079365079, 0.46825396825396826, 0.5396825396825397, 0.4444444444444444, 0.5793650793650794, 0.4523809523809524, 0.46825396825396826, 0.5634920634920635, 0.3968253968253968, 0.5873015873015873]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5007936507936508,0.463356973995272,0.46335697399527187
2,9,5,"[1.3562842309474945, 1.350798636674881, 1.3490170240402222, 1.3970942199230194, 1.3572844862937927]",8,"[0.48412698412698413, 0.5079365079365079, 0.5, 0.5793650793650794, 0.5317460317460317]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5206349206349207,0.4633569739952719,0.46335697399527187
3,9,7,"[1.4018690884113312, 1.3438283801078796, 1.3393380641937256, 1.3324725925922394, 1.339690238237381, 1.3513122200965881, 1.3438357710838318]",10,"[0.5238095238095238, 0.4523809523809524, 0.47619047619047616, 0.46825396825396826, 0.5158730158730159, 0.4603174603174603, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46335697399527187]",0.4829931972789116,0.4634245187436677,0.46335697399527187
4,9,8,"[1.3813373446464539, 1.3798331320285797, 1.3392926454544067, 1.4244921207427979, 1.3441066145896912, 1.4451668560504913, 1.3370136320590973, 1.324045479297638]",11,"[0.5396825396825397, 0.4444444444444444, 0.46825396825396826, 0.5793650793650794, 0.4444444444444444, 0.5079365079365079, 0.4603174603174603, 0.5079365079365079]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.4794326241134752, 0.46335697399527187, 0.47801418439716314, 0.4699763593380615]",0.49404761904761907,0.4680260047281324,0.46335697399527187
5,9,10,"[1.3333159983158112, 1.335635244846344, 1.3233776986598969, 1.3252955079078674, 1.3269733488559723, 1.3436414301395416, 1.3348503112792969, 1.3330679833889008, 1.3487743437290192, 1.3225214779376984]",10,"[0.5, 0.47619047619047616, 0.46825396825396826, 0.5079365079365079, 0.5, 0.3968253968253968, 0.48412698412698413, 0.49206349206349204, 0.4444444444444444, 0.5079365079365079]","[0.46335697399527187, 0.4699763593380615, 0.4695035460992908, 0.4657210401891253, 0.466193853427896, 0.4695035460992908, 0.466193853427896, 0.466193853427896, 0.46761229314420805, 0.4652482269503546]",0.47777777777777775,0.46695035460992906,0.466193853427896
6,8,8,"[1.3544380068778992, 1.36241614818573, 1.358957588672638, 1.4449419379234314, 1.3147490322589874, 1.3277866542339325, 1.4430876970291138, 1.4576329290866852]",10,"[0.6111111111111112, 0.46825396825396826, 0.49206349206349204, 0.5317460317460317, 0.5396825396825397, 0.48412698412698413, 0.5317460317460317, 0.4365079365079365]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.5134751773049645, 0.5437352245862884, 0.46335697399527187, 0.46335697399527187]",0.5119047619047619,0.4796690307328606,0.46335697399527187
7,10,9,"[1.3417965471744537, 1.443563163280487, 1.303503841161728, 1.4349159598350525, 1.3247987926006317, 1.3303670585155487, 1.4226082861423492, 1.330063372850418, 1.3387520015239716]",11,"[0.5, 0.5, 0.5555555555555556, 0.47619047619047616, 0.5, 0.5079365079365079, 0.5317460317460317, 0.5158730158730159, 0.46825396825396826]","[0.4728132387706856, 0.46335697399527187, 0.5078014184397163, 0.46335697399527187, 0.46477541371158393, 0.46713947990543736, 0.46335697399527187, 0.46430260047281324, 0.46713947990543736]",0.5061728395061729,0.47044917257683216,0.46430260047281324
8,10,9,"[1.3548426628112793, 1.379214584827423, 1.4548484086990356, 1.451584368944168, 1.3246354162693024, 1.4514914453029633, 1.3306536674499512, 1.3335398733615875, 1.3222003877162933]",12,"[0.48412698412698413, 0.36507936507936506, 0.49206349206349204, 0.5079365079365079, 0.5, 0.47619047619047616, 0.46825396825396826, 0.5238095238095238, 0.49206349206349204]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.5120567375886524, 0.46335697399527187, 0.5257683215130023, 0.5167848699763593, 0.5044917257683215]",0.47883597883597884,0.4862096138691883,0.46335697399527187
9,8,11,"[1.420085370540619, 1.3102572560310364, 1.3248383402824402, 1.3236196637153625, 1.3293740153312683, 1.3386338949203491, 1.332288146018982, 1.4399379193782806, 1.443151980638504, 1.3199197053909302, 1.3254559636116028]",9,"[0.5634920634920635, 0.5, 0.5396825396825397, 0.48412698412698413, 0.5476190476190477, 0.49206349206349204, 0.5079365079365079, 0.5396825396825397, 0.5714285714285714, 0.5158730158730159, 0.49206349206349204]","[0.46335697399527187, 0.4888888888888889, 0.509692671394799, 0.47754137115839246, 0.4799054373522459, 0.4765957446808511, 0.4950354609929078, 0.46335697399527187, 0.46335697399527187, 0.475177304964539, 0.4817966903073286]",0.523088023088023,0.47951859015688814,0.4723404255319149
10,9,8,"[1.4461390972137451, 1.30733522772789, 1.3418683409690857, 1.3084441423416138, 1.3278239369392395, 1.4440177083015442, 1.4413582682609558, 1.3184156119823456]",10,"[0.5317460317460317, 0.5396825396825397, 0.5079365079365079, 0.626984126984127, 0.5793650793650794, 0.5317460317460317, 0.5634920634920635, 0.5873015873015873]","[0.46335697399527187, 0.557919621749409, 0.6288416075650118, 0.5697399527186762, 0.6160756501182033, 0.46335697399527187, 0.46335697399527187, 0.5825059101654846]",0.558531746031746,0.5431442080378251,0.541371158392435
11,10,8,"[1.3558783531188965, 1.3336149752140045, 1.2893051207065582, 1.3029588460922241, 1.4618589878082275, 1.294527530670166, 1.4506335854530334, 1.306406021118164]",12,"[0.42063492063492064, 0.5317460317460317, 0.6507936507936508, 0.6825396825396826, 0.5158730158730159, 0.626984126984127, 0.5714285714285714, 0.6507936507936508]","[0.46382978723404256, 0.4652482269503546, 0.6718676122931442, 0.6921985815602837, 0.4699763593380615, 0.675177304964539, 0.4666666666666667, 0.6973995271867612]",0.5813492063492064,0.5752955082742317,0.5456264775413712
