,round,client_req,new_updates,avg_loss,queue_size,accuracy_score
0,0,10,10,"[13.943954610824585, 14.185199403762818, 14.588665342330932, 14.154188919067384, 13.851331186294555, 13.607737064361572, 13.849396705627441, 13.82032151222229, 13.995958757400512, 14.381091976165772]",0,0.2981
1,1,10,10,"[13.656962013244629, 13.650846147537232, 13.592948293685913, 13.105263614654541, 13.40344443321228, 13.331139087677002, 13.413433146476745, 12.678148245811462, 13.607319378852845, 12.48055682182312]",0,0.1819
2,2,10,10,"[13.373305749893188, 13.285975742340089, 13.758632516860962, 13.172352123260499, 13.68877682685852, 13.361136531829834, 13.400872278213502, 13.440660333633422, 13.430592727661132, 12.951439428329468]",0,0.2027
3,3,10,10,"[13.297877979278564, 13.282827663421632, 13.411137104034424, 13.251263856887817, 13.223328828811646, 13.290165424346924, 13.428521585464477, 13.305407762527466, 13.27126431465149, 13.495616579055786]",0,0.2027
4,4,10,10,"[13.728948307037353, 13.26492166519165, 13.38430905342102, 13.29175066947937, 13.460785055160523, 13.385894775390625, 13.212850332260132, 13.183091640472412, 13.281069660186768, 13.407316207885742]",0,0.2043
5,5,10,10,"[13.34812912940979, 13.355894804000854, 13.280165433883667, 13.22626781463623, 13.219678401947021, 13.246506690979004, 13.389562797546386, 13.347480297088623, 13.397966861724854, 13.308149290084838]",0,0.2087
6,6,10,10,"[13.362236976623535, 13.392902851104736, 13.232363939285278, 13.268693876266479, 13.324042272567748, 13.296568679809571, 13.32857871055603, 13.242363691329956, 13.342237710952759, 13.475881767272949]",0,0.2126
7,7,10,10,"[13.295652818679809, 13.28275203704834, 13.737273788452148, 13.307607173919678, 13.197099876403808, 13.324579620361328, 13.665324401855468, 13.40865354537964, 13.312633991241455, 13.277361154556274]",0,0.1904
8,8,10,10,"[13.440233087539672, 13.407169151306153, 13.314643335342407, 13.438452959060669, 13.321707630157471, 13.387966632843018, 13.237107753753662, 13.403209447860718, 13.420739221572877, 13.28194556236267]",0,0.2089
9,9,10,10,"[13.362237453460693, 13.333823442459106, 13.234435558319092, 13.264114046096802, 13.194533586502075, 13.251009654998779, 13.323822975158691, 13.25126509666443, 13.472802543640137, 13.222850799560547]",0,0.2102
10,10,10,10,"[13.25094780921936, 13.318417024612426, 13.351751327514648, 13.390544128417968, 13.269776105880737, 13.249945545196534, 13.224435567855835, 13.248731088638305, 13.320328330993652, 13.338580131530762]",0,0.2088
11,11,10,10,"[13.354465627670288, 13.469377946853637, 13.422381734848022, 13.353822231292725, 13.143463850021362, 13.248093366622925, 13.339804792404175, 13.206021547317505, 13.244445037841796, 13.294457578659058]",0,0.21
12,12,10,10,"[13.257337379455567, 13.294482660293578, 13.247679090499878, 13.319213485717773, 13.411137819290161, 13.57613272666931, 13.233846092224121, 12.950208520889282, 13.335725450515747, 13.371868801116943]",0,0.2088
13,13,10,10,"[13.322236776351929, 13.310895872116088, 13.305408716201782, 13.519057512283325, 13.244922161102295, 12.85849928855896, 13.271750211715698, 13.263336896896362, 13.322798442840575, 13.431760931015015]",0,0.2038
14,14,10,10,"[13.322237253189087, 13.30382227897644, 13.312237024307251, 13.239507675170898, 12.931030130386352, 13.320651769638062, 13.209678983688354, 13.177356290817261, 13.430038690567017, 13.278579711914062]",0,0.2095
15,15,10,10,"[13.292022752761842, 13.733370876312256, 13.304806280136109, 13.273336410522461, 13.170221519470214, 13.409650421142578, 13.37106533050537, 13.254922866821289, 13.034781360626221, 13.322237014770508]",0,0.2031
16,16,10,10,"[13.234828853607178, 13.303822755813599, 13.270164966583252, 13.192509841918945, 13.280164957046509, 13.387868547439576, 13.379525089263916, 13.337480545043945, 13.298578977584839, 13.312236547470093]",0,0.2077
17,17,10,10,"[13.24333667755127, 13.25492238998413, 13.381137371063232, 13.306189775466919, 13.315822744369507, 13.216021299362183, 13.273335933685303, 13.259141540527343, 13.254922866821289, 13.37906527519226]",0,0.2089
18,18,10,10,"[13.352237939834595, 13.464647245407104, 13.274921655654907, 13.204435586929321, 13.21690068244934, 13.380444669723511, 13.198383474349976, 13.198445224761963, 13.315407276153564, 13.269530391693115]",0,0.2092
19,19,10,10,"[13.280171537399292, 13.305408716201782, 13.268981552124023, 13.343823432922363, 13.224436283111572, 13.34428849220276, 13.190143585205078, 13.121462631225587, 13.259678602218628, 13.38540768623352]",0,0.2113
20,20,10,10,"[13.13861985206604, 13.453910160064698, 13.311750650405884, 13.341751337051392, 13.35382342338562, 13.355408430099487, 13.235535144805908, 13.29809308052063, 13.207074451446534, 13.336507987976074]",0,0.2089
21,21,10,10,"[13.385894060134888, 13.219678401947021, 13.232850551605225, 13.244922161102295, 13.177510499954224, 13.231264352798462, 13.298579931259155, 13.268579006195068, 13.332237482070923, 13.068628025054931]",0,0.2152
22,22,10,10,"[13.25914125442505, 13.208706855773926, 13.126634120941162, 13.40878586769104, 13.004453134536742, 13.910189485549926, 13.49872407913208, 12.949567747116088, 13.163675594329835, 13.131645727157593]",0,0.2777
23,23,10,10,"[13.122991800308228, 13.03890700340271, 13.332237768173218, 13.183493757247925, 12.990498208999634, 13.343565034866334, 13.037600803375245, 13.461371469497681, 13.04019742012024, 13.305962085723877]",0,0.2086
24,24,10,10,"[13.254435777664185, 13.302665710449219, 13.269141721725465, 13.346481370925904, 13.312849760055542, 13.232364654541016, 13.208997440338134, 13.301265001296997, 13.366994142532349, 13.35492205619812]",0,0.2055
25,25,10,10,"[13.273335695266724, 13.330650806427002, 13.319066047668457, 13.25333604812622, 13.74159746170044, 13.298579454421997, 13.32382345199585, 13.281750440597534, 13.352237701416016, 13.155852603912354]",0,0.1994
26,26,10,10,"[13.310651540756226, 13.368812608718873, 13.45369577407837, 13.329065799713135, 13.035056972503662, 13.278579473495483, 13.268579483032227, 13.271750926971436, 13.261751413345337, 13.36272382736206]",0,0.2062
27,27,10,10,"[13.413209438323975, 13.192436075210571, 13.315407991409302, 13.252849817276001, 13.266508340835571, 13.258092641830444, 13.300165176391602, 13.074451684951782, 13.338360357284547, 13.111877202987671]",0,0.2084
28,28,10,10,"[13.21989860534668, 13.21728973388672, 13.369065761566162, 12.940982341766357, 13.251265048980713, 13.332237243652344, 13.324650955200195, 13.318579721450806, 13.298580169677734, 13.2044358253479]",0,0.2072
29,29,10,10,"[13.249484825134278, 13.367480039596558, 13.313822269439697, 13.20363278388977, 13.190777778625488, 13.207903003692627, 13.288206911087036, 13.294227361679077, 13.288579940795898, 13.246507406234741]",0,0.2109
30,30,10,10,"[13.265213632583619, 13.323044347763062, 13.251458740234375, 13.202652645111083, 13.511450910568238, 13.366993188858032, 13.32146863937378, 13.306020784378052, 13.236634731292725, 13.3701651096344]",0,0.2305
31,31,10,10,"[13.133530187606812, 13.657405138015747, 13.136245107650756, 13.250778198242188, 13.287456750869751, 13.49953851699829, 13.083927202224732, 13.157039356231689, 12.959755277633667, 13.288586950302124]",0,0.2595
32,32,10,10,"[13.185028314590454, 13.406728935241699, 12.786504077911378, 13.142486953735352, 13.064792919158936, 13.125012683868409, 13.015165328979492, 13.07845139503479, 13.410798120498658, 12.991595649719239]",0,0.2636
33,33,10,10,"[13.135048627853394, 13.050904750823975, 13.005175590515137, 13.046430110931396, 12.890781879425049, 13.328606510162354, 12.788405990600586, 12.944404983520508, 13.061525774002074, 13.076333236694335]",0,0.3561
34,34,10,10,"[12.925457668304443, 13.045438194274903, 12.895377731323242, 13.083671140670777, 12.93865008354187, 13.199510097503662, 13.308809900283814, 13.202270030975342, 13.038010454177856, 13.099468564987182]",0,0.3207
35,35,10,10,"[13.058956003189087, 12.703916549682617, 12.887988567352295, 13.294694089889527, 13.12651023864746, 12.90675253868103, 13.481324529647827, 13.041687631607056, 12.708115339279175, 12.722259521484375]",0,0.337
36,36,10,10,"[12.772120380401612, 13.068872451782227, 12.963313579559326, 13.256976175308228, 12.638119983673096, 12.892507410049438, 12.968659830093383, 12.807753562927246, 12.622732305526734, 13.108385610580445]",0,0.3641
37,37,10,10,"[12.83676290512085, 12.815043926239014, 12.901263523101807, 12.772358846664428, 12.638533806800842, 12.945611810684204, 12.378982067108154, 13.308175563812256, 12.920289468765258, 13.034559631347657]",0,0.3183
38,38,10,10,"[12.75089077949524, 12.864330291748047, 12.815281867980957, 12.80784468650818, 12.942414903640747, 13.164768075942993, 12.64906940460205, 12.526537036895752, 12.706193733215333, 12.860604572296143]",0,0.3557
39,39,10,10,"[12.492640256881714, 12.619409465789795, 13.188707304000854, 13.068508529663086, 12.517883777618408, 12.757480192184449, 12.62529788017273, 12.704121160507203, 12.672343254089355, 12.373151612281799]",0,0.3602
40,40,10,10,"[12.637142896652222, 12.382652950286865, 12.725560426712036, 12.590800762176514, 12.58080005645752, 12.620314121246338, 12.749476528167724, 12.615333080291748, 12.681900691986083, 12.793214273452758]",0,0.3615
41,41,10,10,"[12.701751375198365, 12.595996522903443, 13.022270393371581, 12.564795589447021, 13.015601396560669, 13.216007518768311, 12.544508409500121, 12.917947340011597, 12.826550102233886, 12.802648401260376]",0,0.3626
42,42,10,10,"[12.465438413619996, 12.610313892364502, 12.646687221527099, 12.521413326263428, 12.595459342002869, 13.27324800491333, 12.566209936141968, 12.720724487304688, 12.727227401733398, 12.762151670455932]",0,0.3668
43,43,10,10,"[12.744662427902222, 13.002280378341675, 12.483997297286987, 13.056178903579712, 12.73667311668396, 12.70271110534668, 12.683971643447876, 12.725129127502441, 12.394005489349365, 12.811749601364136]",0,0.3251
44,44,10,10,"[12.888959884643555, 12.648601770401001, 13.055874109268188, 13.222639560699463, 12.813776350021362, 12.850397825241089, 12.781286239624023, 13.044787693023682, 13.316553354263306, 13.018073844909669]",0,0.3792
45,45,10,10,"[12.982263231277466, 12.70328459739685, 12.727197790145874, 12.436424493789673, 12.881556010246277, 12.44474446773529, 12.756626176834107, 12.795979690551757, 12.463125658035278, 12.614702939987183]",0,0.3122
46,46,10,10,"[12.88501410484314, 12.748131513595581, 12.802744388580322, 12.952946090698243, 12.776501607894897, 12.520118999481202, 12.69896640777588, 12.77785964012146, 12.850873279571534, 12.915297555923463]",0,0.3399
47,47,10,10,"[12.754193258285522, 12.659167671203614, 12.68375129699707, 13.055388355255127, 12.644944190979004, 12.978620672225953, 12.922475242614746, 12.515118503570557, 12.750161027908325, 12.749067020416259]",0,0.3537
48,48,10,10,"[12.697219371795654, 12.600884485244752, 12.721002435684204, 12.620800733566284, 12.797056865692138, 12.610368919372558, 12.703299570083619, 12.854845428466797, 12.530314326286316, 12.550926446914673]",0,0.3737
49,49,10,10,"[12.688845300674439, 12.498713445663451, 12.568369150161743, 12.68964433670044, 12.564711809158325, 12.65341396331787, 12.540609884262086, 13.215019273757935, 12.848054265975952, 13.070247793197632]",0,0.3554
50,50,10,10,"[12.53933825492859, 12.587634372711182, 12.725375843048095, 12.66497869491577, 12.674457311630249, 12.591861867904663, 12.901066255569457, 12.884722709655762, 12.91262845993042, 12.57743434906006]",0,0.3677
51,51,10,10,"[12.685752344131469, 13.132358169555664, 12.56732530593872, 12.63055214881897, 12.852650213241578, 12.954087829589843, 13.715295124053956, 12.53691053390503, 12.644711971282959, 12.655063390731812]",0,0.3475
52,52,10,10,"[12.494107317924499, 12.66227946281433, 12.625683069229126, 12.932373285293579, 12.891495704650879, 12.673878288269043, 12.893790197372436, 12.62726902961731, 12.957179689407349, 12.686018085479736]",0,0.3509
53,53,10,10,"[12.672258615493774, 12.51362190246582, 12.478508043289185, 12.591480827331543, 12.85613136291504, 12.616529703140259, 12.796255779266357, 12.571286916732788, 12.744170570373536, 13.008076286315918]",0,0.3653
54,54,10,10,"[12.610378742218018, 12.51519455909729, 12.551726531982421, 12.606042861938477, 12.624079179763793, 12.441895484924316, 12.572386026382446, 12.542067956924438, 12.914024305343627, 12.444154214859008]",0,0.3729
55,55,10,10,"[12.612144994735718, 12.72966651916504, 12.680325746536255, 12.351688289642334, 12.591377544403077, 13.111805772781372, 13.089391708374023, 12.562026500701904, 12.71152729988098, 12.353151416778564]",0,0.338
56,56,10,10,"[12.640579557418823, 12.70620813369751, 12.719221949577332, 12.711916542053222, 12.65558557510376, 13.004296255111694, 12.569118690490722, 12.643245410919189, 12.690121126174926, 12.703040838241577]",0,0.3702
57,57,10,10,"[12.511685609817505, 12.892166185379029, 12.59299898147583, 12.77075536251068, 12.320420265197754, 12.583700132369994, 12.611675024032593, 12.62972617149353, 12.784156799316406, 12.405007028579712]",0,0.3604
58,58,10,10,"[12.372855234146119, 12.456655979156494, 12.864776802062988, 12.625701093673706, 12.629214859008789, 12.500313997268677, 12.670724678039551, 12.94778790473938, 12.440144872665405, 12.500423336029053]",0,0.3589
59,59,10,10,"[12.525487899780273, 12.660799741744995, 12.744502735137939, 12.671997308731079, 12.446975088119506, 12.729712343215942, 12.563399314880371, 12.683669519424438, 12.579040670394898, 12.833963060379029]",0,0.3741
60,60,10,10,"[12.651296091079711, 12.34619960784912, 12.428720569610595, 12.43120231628418, 12.909963846206665, 12.644126987457275, 12.596026802062989, 12.608855724334717, 12.671899557113647, 12.554828214645386]",0,0.3713
61,61,10,10,"[12.799775552749633, 13.151357793807984, 12.55634822845459, 12.363675212860107, 12.597274875640869, 12.478809833526611, 12.681477499008178, 12.60309624671936, 12.5263436794281, 12.608855485916138]",0,0.3793
62,62,10,10,"[12.572035026550292, 12.620455884933472, 12.389469146728516, 12.7252357006073, 12.34778606891632, 12.369539785385133, 12.529273080825806, 12.316973876953124, 12.494322729110717, 12.431450128555298]",0,0.3726
63,63,10,10,"[12.617041540145873, 12.598660707473755, 12.466251707077026, 12.482999086380005, 12.395000290870666, 12.791868877410888, 12.582216930389404, 12.6664409160614, 12.541413068771362, 12.706948709487914]",0,0.3736
64,64,10,10,"[12.356758785247802, 12.666404056549073, 12.43251371383667, 12.396177339553834, 12.681432008743286, 12.654369974136353, 12.471050024032593, 12.564558744430542, 12.576656818389893, 12.67709469795227]",0,0.3784
65,65,10,10,"[12.444667959213257, 12.623485565185547, 12.60899829864502, 12.47605848312378, 12.80509102344513, 12.682476091384888, 12.438369750976562, 12.552512645721436, 12.467719507217407, 12.382875967025758]",0,0.3772
