round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
73,10,12,"[0.7254675626754761, 0.7238818407058716, 0.7220893949270248, 0.7243847846984863, 0.7142975926399231, 0.7440929412841797, 0.7311223447322845, 0.7210087031126022, 0.7399550676345825, 0.7247760742902756, 0.720679521560669, 0.7255363762378693]",12,"[0.9920634920634921, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921]","[0.9976359338061466, 0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466]",0.996031746031746,0.9980299448384553,0.9985815602836879,0.013144969940185547
74,9,9,"[0.7713614255189896, 0.7281357198953629, 0.7226690649986267, 0.7000003904104233, 0.7064170688390732, 0.6982398480176926, 0.7101837992668152, 0.7140305489301682, 0.7129946947097778]",12,"[0.9761904761904762, 0.9920634920634921, 1.0, 1.0, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0]","[0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9981087470449173]",0.9947089947089948,0.9981087470449173,0.9981087470449173,0.011346101760864258
75,9,7,"[0.7443583607673645, 0.71671262383461, 0.7212105691432953, 0.704525500535965, 0.694584384560585, 0.7055604606866837, 0.7093639075756073]",14,"[0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921]","[0.9976359338061466, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879]",0.9954648526077098,0.9984464707868962,0.9985815602836879,0.01035308837890625
76,9,13,"[0.7346919029951096, 0.716382622718811, 0.719152644276619, 0.7371451705694199, 0.7249210476875305, 0.7056049555540085, 0.7145732045173645, 0.7334688305854797, 0.7059236168861389, 0.7301363795995712, 0.7070557624101639, 0.6980871856212616, 0.716835156083107]",10,"[1.0, 1.0, 1.0, 0.9920634920634921, 0.9841269841269841, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0]","[0.9985815602836879, 0.9981087470449173, 0.9985815602836879, 0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9981087470449173]",0.9957264957264957,0.9982905982905982,0.9985815602836879,0.013360261917114258
77,8,8,"[0.7276675552129745, 0.7215444296598434, 0.701077476143837, 0.7050724923610687, 0.7303097993135452, 0.6854266375303268, 0.7335048019886017, 0.7012161165475845]",10,"[1.0, 1.0, 1.0, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0]","[0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466]",0.998015873015873,0.9983451536643025,0.9985815602836879,0.010868072509765625
78,10,11,"[0.7524465620517731, 0.7524922788143158, 0.749581903219223, 0.7103795111179352, 0.714917778968811, 0.712676614522934, 0.7039150595664978, 0.6940417587757111, 0.7024037837982178, 0.7087385654449463, 0.703969269990921]",9,"[0.9920634920634921, 0.9841269841269841, 0.9841269841269841, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 1.0, 1.0, 0.9920634920634921]","[0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9981087470449173, 0.9985815602836879, 0.9985815602836879, 0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9985815602836879, 0.9985815602836879]",0.9942279942279942,0.9981517300666234,0.9985815602836879,0.012397050857543945
79,8,6,"[0.716167077422142, 0.7091042995452881, 0.6992709785699844, 0.7242924273014069, 0.7098574787378311, 0.7256423532962799]",11,"[1.0, 0.9841269841269841, 0.9920634920634921, 0.9920634920634921, 1.0, 0.9920634920634921]","[0.9981087470449173, 0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879]",0.9933862433862434,0.9983451536643027,0.9985815602836879,0.010553836822509766
80,9,9,"[0.7153292447328568, 0.7126110792160034, 0.6953175961971283, 0.7183818519115448, 0.7022343873977661, 0.6920415908098221, 0.7063915431499481, 0.6916625946760178, 0.678736224770546]",11,"[1.0, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 1.0, 1.0]","[0.9985815602836879, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9981087470449173, 0.9985815602836879, 0.9985815602836879]",0.9973544973544973,0.9982663514578408,0.9985815602836879,0.011590003967285156
81,9,12,"[0.7247789353132248, 0.7262559831142426, 0.7006781995296478, 0.6904746443033218, 0.6888507455587387, 0.6940278857946396, 0.7053076773881912, 0.6957343518733978, 0.6972341388463974, 0.6899861246347427, 0.6914989203214645, 0.6927760094404221]",8,"[0.9920634920634921, 0.9841269841269841, 1.0, 1.0, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 1.0, 1.0]","[0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9981087470449173, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466]",0.9966931216931217,0.9979117415287626,0.9976359338061466,0.012712955474853516
82,10,9,"[0.6972156465053558, 0.7059463709592819, 0.6786968410015106, 0.691758930683136, 0.7056573033332825, 0.6816938519477844, 0.6943594217300415, 0.6906851381063461, 0.6848102957010269]",9,"[1.0, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0]","[0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9981087470449173, 0.9985815602836879]",0.9964726631393298,0.9980036774363015,0.9976359338061466,0.011223077774047852
