round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,accuracy_score
0,10,10,"[10.360076475143433, 10.360857343673706, 10.486761689186096, 10.389135789871215, 10.374153757095337, 10.438494801521301, 10.663171005249023, 10.467100167274475, 10.354952836036682, 10.657996702194215]",0,"[0.8766666666666667, 0.8716666666666667, 0.7433333333333333, 0.8683333333333333, 0.935, 0.8233333333333334, 0.7916666666666666, 0.8566666666666667, 0.905, 0.8666666666666667]","[0.7821, 0.7713, 0.6955, 0.7583, 0.8314, 0.735, 0.7254, 0.7919, 0.8123, 0.787]",0.0982
1,10,10,"[10.714194202423096, 10.6489896774292, 11.069053769111633, 10.779380702972412, 10.641702246665954, 10.507325410842896, 11.0177170753479, 10.73647391796112, 10.705445790290833, 10.850504755973816]",0,"[0.8, 0.745, 0.6516666666666666, 0.66, 0.7866666666666666, 0.74, 0.7216666666666667, 0.7366666666666667, 0.855, 0.73]","[0.7264, 0.6966, 0.5624, 0.5909, 0.6773, 0.6557, 0.6393, 0.6715, 0.7734, 0.6922]",0.2686
2,10,6,"[10.556087827682495, 10.725453805923461, 10.513958406448364, 10.765117120742797, 10.844022035598755, 10.693667888641357]",4,"[0.7183333333333334, 0.5783333333333334, 0.6433333333333333, 0.7633333333333333, 0.685, 0.795]","[0.6298, 0.5266, 0.5742, 0.6793, 0.639, 0.7108]",0.2076
3,10,9,"[10.687596607208253, 10.891266822814941, 10.713427567481995, 11.529643893241882, 10.875637984275818, 11.072477960586548, 10.920484018325805, 10.710802602767945, 10.655039405822754]",5,"[0.7533333333333333, 0.6683333333333333, 0.6983333333333334, 0.6, 0.6983333333333334, 0.5016666666666667, 0.6783333333333333, 0.7033333333333334, 0.59]","[0.6149, 0.6463, 0.6273, 0.5297, 0.6516, 0.5081, 0.6073, 0.6159, 0.5475]",0.2106
4,10,9,"[10.653145503997802, 10.819240140914918, 10.700005149841308, 10.776246190071106, 10.916386651992799, 10.739157795906067, 10.682423663139343, 10.658623147010804, 10.792855477333068]",6,"[0.635, 0.5483333333333333, 0.6683333333333333, 0.6766666666666666, 0.6683333333333333, 0.565, 0.6516666666666666, 0.73, 0.75]","[0.5865, 0.514, 0.6093, 0.606, 0.6056, 0.5053, 0.5676, 0.6405, 0.6971]",0.3175
5,10,14,"[10.787949705123902, 10.700904250144958, 10.850265669822694, 10.787502360343932, 10.870189452171326, 10.736373615264892, 10.704118084907531, 10.661153602600098, 10.663291549682617, 10.700373339653016, 10.650388240814209, 10.770973086357117, 10.703083324432374, 10.836125349998474]",2,"[0.6583333333333333, 0.7033333333333334, 0.6983333333333334, 0.6016666666666667, 0.5833333333333334, 0.545, 0.5416666666666666, 0.5583333333333333, 0.6666666666666666, 0.7233333333333334, 0.695, 0.6433333333333333, 0.59, 0.5516666666666666]","[0.6168, 0.6595, 0.6369, 0.5419, 0.5507, 0.5017, 0.5075, 0.4848, 0.6295, 0.6733, 0.6026, 0.5622, 0.5285, 0.5194]",0.2495
6,10,9,"[10.701163172721863, 10.74092411994934, 10.877830743789673, 10.730239939689636, 10.843134307861328, 10.735971093177795, 10.942504262924194, 11.065961456298828, 11.208431053161622]",3,"[0.6933333333333334, 0.7933333333333333, 0.6383333333333333, 0.6283333333333333, 0.6266666666666667, 0.7133333333333334, 0.6233333333333333, 0.5, 0.495]","[0.6558, 0.7191, 0.5976, 0.5758, 0.5904, 0.6313, 0.5779, 0.5078, 0.454]",0.2007
7,9,6,"[10.770226240158081, 10.903441286087036, 10.967337250709534, 10.850019907951355, 10.952105975151062, 10.775169110298156]",6,"[0.6483333333333333, 0.6483333333333333, 0.585, 0.6166666666666667, 0.49, 0.7633333333333333]","[0.5801, 0.5962, 0.5054, 0.5748, 0.466, 0.7015]",0.2107
8,10,8,"[10.782382464408874, 10.78639726638794, 10.705259132385255, 10.616591906547546, 10.809343838691712, 10.646425867080689, 10.902857136726379, 10.582010388374329]",8,"[0.66, 0.555, 0.6683333333333333, 0.5766666666666667, 0.6633333333333333, 0.665, 0.6866666666666666, 0.7033333333333334]","[0.5893, 0.5242, 0.6086, 0.547, 0.5868, 0.6034, 0.6394, 0.6093]",0.0982
9,9,12,"[10.839975190162658, 10.989039492607116, 10.755339789390565, 10.969907546043396, 11.063349199295043, 11.136742687225341, 10.91791365146637, 11.371499395370483, 11.025283432006836, 10.77484951019287, 10.789443230628967, 10.856520557403565]",5,"[0.675, 0.61, 0.475, 0.5833333333333334, 0.5116666666666667, 0.55, 0.6666666666666666, 0.5866666666666667, 0.5666666666666667, 0.705, 0.605, 0.635]","[0.6016, 0.5288, 0.4544, 0.5597, 0.504, 0.5527, 0.5798, 0.5464, 0.4938, 0.5895, 0.564, 0.5578]",0.1755
