round,n_client_req,n_new_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,update_delays,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
11,62,49,16,0,49,"[11.0, 8.0, 7.0, 7.0, 7.0, 6.0, 6.0, 5.0, 5.0, 5.0, 4.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6775065660476685,0.9829933047294617,0.9585563540458679,0.9829933047294617,0.9829933047294617,0,0,0.9706855791962175,0.06810545921325684
12,62,25,18,0,25,"[12.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 8.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 4.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6800383925437927,0.9633333683013916,0.9429030418395996,0.9633333683013916,0.9633333683013916,0,0,0.9721040189125295,0.051918745040893555
13,39,42,23,0,42,"[13.0, 12.0, 12.0, 11.0, 10.0, 10.0, 10.0, 9.0, 9.0, 8.0, 8.0, 8.0, 7.0, 7.0, 6.0, 6.0, 6.0, 6.0, 4.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6785268783569336,0.9603174328804016,0.9450973272323608,0.9603174328804016,0.9603174328804016,0,0,0.9721040189125295,0.05979275703430176
14,48,42,26,0,42,"[14.0, 13.0, 12.0, 12.0, 12.0, 11.0, 11.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 8.0, 7.0, 6.0, 5.0, 4.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6767937541007996,0.9603174924850464,0.9444330930709839,0.9603174924850464,0.9603174924850464,0,0,0.9687943262411347,0.16589593887329102
15,50,53,29,0,53,"[15.0, 15.0, 14.0, 14.0, 14.0, 13.0, 13.0, 12.0, 11.0, 11.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 8.0, 8.0, 7.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6776036024093628,0.9685534834861755,0.9442704319953918,0.9685534834861755,0.9685534834861755,0,0,0.9711583924349881,0.07263827323913574
16,46,40,23,0,40,"[16.0, 16.0, 16.0, 15.0, 15.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 10.0, 9.0, 8.0, 8.0, 8.0, 7.0, 6.0, 6.0, 6.0, 4.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.676988959312439,0.95208340883255,0.9386171102523804,0.95208340883255,0.95208340883255,0,0,0.9716312056737588,0.05975842475891113
17,50,15,15,0,15,"[17.0, 15.0, 14.0, 13.0, 13.0, 11.0, 10.0, 8.0, 8.0, 6.0, 5.0, 5.0, 4.0, 3.0, 2.0]",0.678826093673706,0.98333340883255,0.9391331076622009,0.98333340883255,0.98333340883255,0,0,0.9716312056737588,0.0381317138671875
18,42,25,20,0,25,"[18.0, 18.0, 17.0, 17.0, 16.0, 14.0, 14.0, 13.0, 13.0, 13.0, 13.0, 8.0, 8.0, 7.0, 6.0, 6.0, 5.0, 5.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6779002547264099,0.9533333778381348,0.9196973443031311,0.9533333778381348,0.9533333778381348,0,0,0.9659574468085106,0.04504203796386719
19,52,38,29,0,38,"[19.0, 19.0, 19.0, 17.0, 16.0, 16.0, 15.0, 15.0, 15.0, 14.0, 14.0, 13.0, 13.0, 13.0, 13.0, 12.0, 12.0, 12.0, 10.0, 10.0, 9.0, 9.0, 9.0, 6.0, 5.0, 5.0, 4.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6776040196418762,0.9627192616462708,0.9390069842338562,0.9627192616462708,0.9627192616462708,0,0,0.9687943262411347,0.05704331398010254
20,42,35,35,0,35,"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 16.0, 16.0, 16.0, 15.0, 15.0, 14.0, 12.0, 11.0, 10.0, 10.0, 9.0, 8.0, 8.0, 8.0, 6.0, 5.0, 5.0, 4.0, 4.0, 3.0, 3.0, 3.0, 1.0]",0.6796273589134216,0.9404762387275696,0.9092063307762146,0.9404762387275696,0.9404762387275696,0,0,0.9678486997635933,0.056462764739990234
