round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6899540424346924,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,12.394365310668945
1,93,73,67,6,0,73,0.6851475238800049,0.49657535552978516,0.4633569121360779,0.49657535552978516,0.49657535552978516,0,0,0.46335697399527187,13.837856769561768
2,90,55,53,2,0,55,0.6847282648086548,0.46515148878097534,0.46335694193840027,0.46515148878097534,0.46515148878097534,0,0,0.46335697399527187,14.6527841091156
3,87,59,55,4,0,59,0.6803950667381287,0.47740110754966736,0.46335700154304504,0.47740110754966736,0.47740110754966736,0,0,0.46335697399527187,15.289451599121094
4,87,35,29,6,0,35,0.6772884130477905,0.4928571283817291,0.46335700154304504,0.4928571283817291,0.4928571283817291,0,0,0.46335697399527187,11.39946985244751
5,87,40,28,12,0,40,0.6770707964897156,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,12.28274393081665
6,74,59,47,12,0,59,0.6727556586265564,0.4703390300273895,0.4635172188282013,0.4703390300273895,0.4703390300273895,0,0,0.46335697399527187,13.278072118759155
7,73,61,51,10,0,61,0.6696560978889465,0.4685792028903961,0.465170681476593,0.4685792028903961,0.4685792028903961,0,0,0.46477541371158393,11.970524311065674
8,80,62,51,11,0,62,0.6651760935783386,0.5026881694793701,0.4737817347049713,0.5026881694793701,0.5026881694793701,0,0,0.4718676122931442,12.57565689086914
9,68,41,31,10,0,41,0.6644760370254517,0.5,0.4936170279979706,0.5,0.5,0,0,0.49598108747044917,12.190540552139282
10,82,45,33,12,0,45,0.6632275581359863,0.5481480956077576,0.5264512896537781,0.5481480956077576,0.5481480956077576,0,0,0.5423167848699764,12.472559452056885
11,67,57,45,12,0,57,0.6567185521125793,0.5950292348861694,0.581651508808136,0.5950292348861694,0.5950292348861694,0,0,0.6179669030732861,12.268319606781006
12,63,25,3,22,0,25,0.6681584119796753,0.5299999713897705,0.507631242275238,0.5299999713897705,0.5299999713897705,0,0,0.4756501182033097,10.332425355911255
13,59,17,0,17,0,17,0.6674465537071228,0.5245097875595093,0.5331942439079285,0.5245097875595093,0.5245097875595093,0,0,0.4732860520094563,9.29092001914978
14,52,25,4,21,0,25,0.6682297587394714,0.5133333802223206,0.49567848443984985,0.5133333802223206,0.5133333802223206,0,0,0.4666666666666667,11.353081703186035
15,54,48,30,18,0,48,0.6648456454277039,0.5069444179534912,0.4855595529079437,0.5069444179534912,0.5069444179534912,0,0,0.47754137115839246,11.521860361099243
16,39,24,0,24,0,24,0.6677846312522888,0.5104166269302368,0.501004695892334,0.5104166269302368,0.5104166269302368,0,0,0.4657210401891253,13.079959154129028
17,44,32,0,32,0,32,0.6680780053138733,0.4869791567325592,0.5313534140586853,0.4869791567325592,0.4869791567325592,0,0,0.5243498817966903,10.146785974502563
18,50,42,21,21,0,42,0.6577991843223572,0.5773809552192688,0.5490487217903137,0.5773809552192688,0.5773809552192688,0,0,0.5820330969267139,14.179707288742065
19,42,44,8,36,0,44,0.6620990037918091,0.5511363744735718,0.5222222805023193,0.5511363744735718,0.5511363744735718,0,0,0.48557919621749407,13.527619361877441
20,50,35,3,32,0,35,0.6687479615211487,0.5214285850524902,0.49966898560523987,0.5214285850524902,0.5214285850524902,0,0,0.46382978723404256,14.145389556884766
21,56,46,22,24,0,46,0.6620901226997375,0.5507246255874634,0.4974817931652069,0.5507246255874634,0.5507246255874634,0,0,0.466193853427896,13.71695852279663
22,47,49,21,28,0,49,0.6640901565551758,0.5034013986587524,0.4953153133392334,0.5034013986587524,0.5034013986587524,0,0,0.4851063829787234,15.218409061431885
23,51,42,13,29,0,42,0.6610522270202637,0.5158730745315552,0.5095913410186768,0.5158730745315552,0.5158730745315552,0,0,0.500709219858156,10.1337571144104
24,42,26,0,26,0,26,0.6711210012435913,0.4839743971824646,0.495362788438797,0.4839743971824646,0.4839743971824646,0,0,0.484160756501182,9.862016916275024
25,45,37,0,37,0,37,0.6640323996543884,0.5247747302055359,0.49856236577033997,0.5247747302055359,0.5247747302055359,0,0,0.48557919621749407,13.340012311935425
26,41,53,10,43,0,53,0.6673824191093445,0.4779874086380005,0.5141888856887817,0.4779874086380005,0.4779874086380005,0,0,0.5040189125295508,15.403115510940552
27,41,42,0,42,0,42,0.6603585481643677,0.5535714030265808,0.514522135257721,0.5535714030265808,0.5535714030265808,0,0,0.4884160756501182,14.113882064819336
28,35,40,0,40,0,40,0.6621864438056946,0.550000011920929,0.5101063847541809,0.550000011920929,0.550000011920929,0,0,0.4955082742316785,13.581384420394897
29,44,42,0,42,0,42,0.6662189960479736,0.5277777910232544,0.5363503694534302,0.5277777910232544,0.5277777910232544,0,0,0.5044917257683215,14.13143014907837
30,49,29,0,29,0,29,0.657794713973999,0.5804597735404968,0.5094806551933289,0.5804597735404968,0.5804597735404968,0,0,0.48936170212765956,13.255360841751099
31,44,42,0,42,0,42,0.6600662469863892,0.5297619700431824,0.5279523134231567,0.5297619700431824,0.5297619700431824,0,0,0.518676122931442,11.32488226890564
32,43,42,9,33,0,42,0.6558323502540588,0.5932539701461792,0.5420015454292297,0.5932539701461792,0.5932539701461792,0,0,0.5238770685579196,15.148975372314453
33,32,49,9,40,0,49,0.6608486771583557,0.545918345451355,0.5521590709686279,0.545918345451355,0.545918345451355,0,0,0.5451536643026005,11.389559984207153
34,42,31,0,31,0,31,0.6633268594741821,0.5161290168762207,0.5496072173118591,0.5161290168762207,0.5161290168762207,0,0,0.5465721040189125,13.926052808761597
35,42,27,0,27,0,27,0.6589891910552979,0.5586419701576233,0.5324051976203918,0.5586419701576233,0.5586419701576233,0,0,0.524822695035461,9.908438920974731
36,39,59,19,40,0,59,0.6532660722732544,0.6214689612388611,0.5785791277885437,0.6214689612388611,0.6214689612388611,0,0,0.5910165484633569,13.392672061920166
37,43,28,0,28,0,28,0.6588859558105469,0.550595223903656,0.5697737336158752,0.550595223903656,0.550595223903656,0,0,0.5716312056737589,17.11631965637207
