round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
0,10,10,"[1.3821812868118286, 1.354437917470932, 1.3813373744487762, 1.3798332810401917, 1.3679785430431366, 1.3735364973545074, 1.379404366016388, 1.385715276002884, 1.3690621852874756, 1.373248040676117]",0,"[0.47619047619047616, 0.6111111111111112, 0.5396825396825397, 0.4444444444444444, 0.49206349206349204, 0.6587301587301587, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413, 0.5079365079365079]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5063492063492063,0.463356973995272,0.46335697399527187,0.04564642906188965
1,10,10,"[1.3543645143508911, 1.4028190970420837, 1.376076728105545, 1.3925718665122986, 1.3626244068145752, 1.3712726831436157, 1.3921708464622498, 1.373429000377655, 1.355392575263977, 1.392933964729309]",0,"[0.46825396825396826, 0.5396825396825397, 0.4444444444444444, 0.5793650793650794, 0.4523809523809524, 0.46825396825396826, 0.5634920634920635, 0.3968253968253968, 0.48412698412698413, 0.5873015873015873]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4984126984126983,0.463356973995272,0.46335697399527187,0.09077858924865723
2,10,10,"[1.4041518568992615, 1.3581271469593048, 1.354613721370697, 1.3514548540115356, 1.4064140915870667, 1.3460310697555542, 1.3756637871265411, 1.344201773405075, 1.4011179208755493, 1.3528605997562408]",0,"[0.5396825396825397, 0.46825396825396826, 0.49206349206349204, 0.48412698412698413, 0.5238095238095238, 0.5079365079365079, 0.36507936507936506, 0.5, 0.5793650793650794, 0.5317460317460317]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4992063492063492,0.463356973995272,0.46335697399527187,0.06514573097229004
3,10,10,"[1.4066579639911652, 1.3367672860622406, 1.3291615545749664, 1.3611428141593933, 1.3530210852622986, 1.3377775847911835, 1.4170840382575989, 1.418653517961502, 1.3476137816905975, 1.344885528087616]",0,"[0.6587301587301587, 0.5, 0.49206349206349204, 0.38095238095238093, 0.3968253968253968, 0.48412698412698413, 0.5396825396825397, 0.5317460317460317, 0.47619047619047616, 0.47619047619047616]","[0.46335697399527187, 0.46382978723404256, 0.46382978723404256, 0.4652482269503546, 0.46382978723404256, 0.46382978723404256, 0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46382978723404256]",0.49365079365079356,0.4638297872340426,0.46335697399527187,0.0931696891784668
4,10,10,"[1.326518714427948, 1.34867662191391, 1.337647259235382, 1.4279891550540924, 1.4268739819526672, 1.316413789987564, 1.4332427382469177, 1.4460633993148804, 1.4251518845558167, 1.3180960714817047]",0,"[0.48412698412698413, 0.42857142857142855, 0.46825396825396826, 0.5873015873015873, 0.5634920634920635, 0.5079365079365079, 0.5238095238095238, 0.5238095238095238, 0.5793650793650794, 0.5079365079365079]","[0.4789598108747045, 0.4988179669030733, 0.4907801418439716, 0.46335697399527187, 0.46335697399527187, 0.47423167848699765, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.4718676122931442]",0.5174603174603174,0.4731442080378251,0.46335697399527187,0.1225137710571289
5,10,10,"[1.3233891427516937, 1.4448058307170868, 1.3364471197128296, 1.2989566624164581, 1.3204723000526428, 1.3234554529190063, 1.3277475237846375, 1.341050773859024, 1.319007009267807, 1.3237164616584778]",0,"[0.5158730158730159, 0.5714285714285714, 0.4603174603174603, 0.6111111111111112, 0.5079365079365079, 0.5476190476190477, 0.5158730158730159, 0.5, 0.5, 0.5396825396825397]","[0.47092198581560285, 0.46335697399527187, 0.49645390070921985, 0.4652482269503546, 0.475177304964539, 0.4817966903073286, 0.4794326241134752, 0.48936170212765956, 0.4699763593380615, 0.48274231678486995]",0.526984126984127,0.47744680851063837,0.4728132387706856,0.050601959228515625
6,10,10,"[1.3223714232444763, 1.4646007716655731, 1.3064858317375183, 1.3255250453948975, 1.3135976791381836, 1.326113998889923, 1.3210233747959137, 1.3105104863643646, 1.3138348162174225, 1.3083482086658478]",0,"[0.6507936507936508, 0.49206349206349204, 0.5873015873015873, 0.5634920634920635, 0.5317460317460317, 0.5873015873015873, 0.6031746031746031, 0.6349206349206349, 0.5158730158730159, 0.5793650793650794]","[0.6094562647754137, 0.46382978723404256, 0.5664302600472814, 0.624113475177305, 0.5659574468085107, 0.6160756501182033, 0.6028368794326241, 0.5583924349881797, 0.577304964539007, 0.5820330969267139]",0.5746031746031746,0.576643026004728,0.5829787234042553,0.08502602577209473
7,10,10,"[1.281577080488205, 1.2839065492153168, 1.4665795266628265, 1.2849172055721283, 1.2875412702560425, 1.259725958108902, 1.296101599931717, 1.30130136013031, 1.281876415014267, 1.2942814230918884]",0,"[0.6904761904761905, 0.6666666666666666, 0.5238095238095238, 0.6904761904761905, 0.6587301587301587, 0.7380952380952381, 0.6825396825396826, 0.746031746031746, 0.7222222222222222, 0.7222222222222222]","[0.6912529550827423, 0.68274231678487, 0.48321513002364064, 0.7016548463356974, 0.7101654846335698, 0.6458628841607565, 0.7130023640661939, 0.7054373522458629, 0.7049645390070922, 0.7026004728132388]",0.6841269841269841,0.6740898345153664,0.6931442080378251,0.06486082077026367
8,10,10,"[1.495441734790802, 1.2599188685417175, 1.2671546936035156, 1.31159046292305, 1.2914759814739227, 1.2957011461257935, 1.5067807137966156, 1.2938147485256195, 1.483812838792801, 1.5163413286209106]",0,"[0.42857142857142855, 0.7936507936507936, 0.7936507936507936, 0.7619047619047619, 0.8015873015873016, 0.7698412698412699, 0.40476190476190477, 0.8015873015873016, 0.3888888888888889, 0.4365079365079365]","[0.5777777777777777, 0.7872340425531915, 0.7872340425531915, 0.816548463356974, 0.8127659574468085, 0.806146572104019, 0.6028368794326241, 0.798581560283688, 0.5763593380614658, 0.5981087470449172]",0.6380952380952382,0.7163593380614659,0.7749408983451537,0.13164734840393066
9,10,10,"[1.2789190113544464, 1.5018657445907593, 1.2579505443572998, 1.5008618831634521, 1.5060945749282837, 1.2563429474830627, 1.2696621119976044, 1.4973542988300323, 1.2642693519592285, 1.2703863382339478]",0,"[0.8412698412698413, 0.373015873015873, 0.8333333333333334, 0.3412698412698413, 0.373015873015873, 0.8412698412698413, 0.8571428571428571, 0.3253968253968254, 0.7857142857142857, 0.8888888888888888]","[0.8742316784869977, 0.6713947990543735, 0.8520094562647754, 0.6718676122931442, 0.6912529550827423, 0.8520094562647754, 0.864775413711584, 0.6931442080378251, 0.8600472813238771, 0.8657210401891253]",0.6460317460317461,0.789645390070922,0.8368794326241135,0.1260678768157959
