round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
0,10,6,"[1.3821812868118286, 1.3679785430431366, 1.3735364973545074, 1.379404366016388, 1.385715276002884, 1.3690621852874756]",4,"[0.47619047619047616, 0.49206349206349204, 0.6587301587301587, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.49338624338624343,0.4633569739952719,0.46335697399527187,12.286983728408813
1,10,9,"[1.373248040676117, 1.3578329384326935, 1.3994541466236115, 1.3789608180522919, 1.3897574543952942, 1.3655713498592377, 1.3742354810237885, 1.388927161693573, 1.3584817051887512]",5,"[0.5079365079365079, 0.46825396825396826, 0.5396825396825397, 0.4444444444444444, 0.5793650793650794, 0.4523809523809524, 0.46825396825396826, 0.5634920634920635, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5008818342151675,0.463356973995272,0.46335697399527187,8.818799495697021
2,9,6,"[1.3666127026081085, 1.3608100712299347, 1.3974662721157074, 1.3829392194747925, 1.3931484520435333, 1.36152783036232]",8,"[0.46825396825396826, 0.48412698412698413, 0.5238095238095238, 0.36507936507936506, 0.5793650793650794, 0.5317460317460317]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4920634920634921,0.4633569739952719,0.46335697399527187,8.780349016189575
3,9,7,"[1.3899078965187073, 1.3567984402179718, 1.3530423939228058, 1.3477235734462738, 1.3540127575397491, 1.3638162910938263, 1.3521751761436462]",10,"[0.5873015873015873, 0.4523809523809524, 0.47619047619047616, 0.46825396825396826, 0.5158730158730159, 0.4603174603174603, 0.46825396825396826]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.489795918367347,0.463356973995272,0.46335697399527187,8.998367309570312
4,9,10,"[1.3813373744487762, 1.3798332810401917, 1.361024558544159, 1.3533366918563843, 1.423405110836029, 1.3543058633804321, 1.3429353535175323, 1.3430237770080566, 1.4018181264400482, 1.3590735495090485]",9,"[0.5396825396825397, 0.4444444444444444, 0.42857142857142855, 0.47619047619047616, 0.5079365079365079, 0.4603174603174603, 0.5, 0.46825396825396826, 0.5634920634920635, 0.4444444444444444]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4833333333333334,0.463356973995272,0.46335697399527187,9.00637149810791
5,7,4,"[1.356900542974472, 1.3451837301254272, 1.3601267635822296, 1.3354605436325073]",12,"[0.48412698412698413, 0.49206349206349204, 0.4444444444444444, 0.5079365079365079]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4821428571428571,0.46335697399527187,0.46335697399527187,8.79694390296936
6,10,10,"[1.354437917470932, 1.429087907075882, 1.3282584249973297, 1.3236675560474396, 1.4366044104099274, 1.330883800983429, 1.3357324302196503, 1.3481960594654083, 1.3377983272075653, 1.3305113911628723]",12,"[0.6111111111111112, 0.5, 0.5079365079365079, 0.49206349206349204, 0.5396825396825397, 0.5158730158730159, 0.4603174603174603, 0.4603174603174603, 0.5, 0.4603174603174603]","[0.46335697399527187, 0.46335697399527187, 0.4666666666666667, 0.4652482269503546, 0.46335697399527187, 0.4666666666666667, 0.4718676122931442, 0.48321513002364064, 0.4666666666666667, 0.46761229314420805]",0.5047619047619047,0.46780141843971634,0.46335697399527187,8.949747800827026
7,10,10,"[1.3394067287445068, 1.3261155784130096, 1.3290724158287048, 1.327591598033905, 1.441466063261032, 1.31831556558609, 1.3243414461612701, 1.4285820424556732, 1.3237212598323822, 1.3330369889736176]",12,"[0.5, 0.5, 0.4523809523809524, 0.5396825396825397, 0.47619047619047616, 0.5158730158730159, 0.5317460317460317, 0.5317460317460317, 0.5158730158730159, 0.46825396825396826]","[0.46335697399527187, 0.4723404255319149, 0.4728132387706856, 0.47092198581560285, 0.46335697399527187, 0.4695035460992908, 0.4756501182033097, 0.46335697399527187, 0.46808510638297873, 0.47706855791962177]",0.5031746031746032,0.469645390070922,0.46477541371158393,8.825622081756592
8,10,13,"[1.3535728752613068, 1.4025863111019135, 1.4068298637866974, 1.3435073494911194, 1.4547597467899323, 1.3100939691066742, 1.4514447748661041, 1.3246105313301086, 1.4513620436191559, 1.4373953938484192, 1.3305693566799164, 1.333485722541809, 1.322065532207489]",9,"[0.5, 0.5238095238095238, 0.5793650793650794, 0.4444444444444444, 0.49206349206349204, 0.5, 0.5079365079365079, 0.5, 0.47619047619047616, 0.5079365079365079, 0.46825396825396826, 0.5317460317460317, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.48652482269503544, 0.46335697399527187, 0.4888888888888889, 0.46335697399527187, 0.5115839243498818, 0.46335697399527187, 0.46335697399527187, 0.5276595744680851, 0.51725768321513, 0.5054373522458628]",0.5012210012210012,0.4831423895253683,0.46382978723404256,9.356178045272827
9,9,7,"[1.376176655292511, 1.3682152330875397, 1.4343855679035187, 1.3305577635765076, 1.4419628381729126, 1.3265914618968964, 1.3233954012393951]",11,"[0.3968253968253968, 0.42063492063492064, 0.5317460317460317, 0.5079365079365079, 0.5396825396825397, 0.5396825396825397, 0.49206349206349204]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.4940898345153664, 0.46335697399527187, 0.47375886524822697, 0.4803782505910166]",0.4897959183673469,0.4716649780479568,0.46335697399527187,8.740591764450073
