round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,0,100,0.692782998085022,0.5969999432563782,0.49798500537872314,0.5969999432563782,0.5969999432563782,0,0,0.5,9.538285255432129
1,100,100,100,0,0,100,0.6794019341468811,0.628000020980835,0.504455029964447,0.628000020980835,0.628000020980835,0,0,0.5,8.708662748336792
2,100,100,100,0,0,100,0.6733216643333435,0.6559999585151672,0.5088849663734436,0.6559999585151672,0.6559999585151672,0,0,0.5,9.657470703125
3,100,100,100,0,0,100,0.6595069766044617,0.6389999389648438,0.521850049495697,0.6389999389648438,0.6389999389648438,0,0,0.5,10.750331401824951
4,100,100,100,0,0,100,0.6470606923103333,0.6600000262260437,0.531345009803772,0.6600000262260437,0.6600000262260437,0,0,0.5145,11.019631147384644
5,100,100,100,0,0,100,0.6316999793052673,0.6800000071525574,0.5376049876213074,0.6800000071525574,0.6800000071525574,0,0,0.5135,12.987071752548218
6,100,100,100,0,0,100,0.6178276538848877,0.6710000038146973,0.5400300025939941,0.6710000038146973,0.6710000038146973,0,0,0.5205,10.42158818244934
7,100,100,100,0,0,100,0.6062965989112854,0.659000039100647,0.5473799705505371,0.659000039100647,0.659000039100647,0,0,0.52,10.098541975021362
8,100,100,100,0,0,100,0.5978367328643799,0.6779999732971191,0.5513849854469299,0.6779999732971191,0.6779999732971191,0,0,0.5135,10.497093915939331
9,100,100,100,0,0,100,0.5907848477363586,0.6780000329017639,0.5812250375747681,0.6780000329017639,0.6780000329017639,0,0,0.5395,14.49825143814087
10,100,100,100,0,0,100,0.5742941498756409,0.625999927520752,0.5386250019073486,0.625999927520752,0.625999927520752,0,0,0.5085,9.992711782455444
11,100,100,100,0,0,100,0.5709958076477051,0.7059999704360962,0.6042150259017944,0.7059999704360962,0.7059999704360962,0,0,0.522,12.144755840301514
12,100,100,100,0,0,100,0.5592865943908691,0.6389999985694885,0.5474700331687927,0.6389999985694885,0.6389999985694885,0,0,0.5085,12.570802688598633
13,100,100,100,0,0,100,0.554108202457428,0.703000009059906,0.5880300402641296,0.703000009059906,0.703000009059906,0,0,0.515,10.179224252700806
14,100,100,100,0,0,100,0.5459402203559875,0.6979999542236328,0.5790600180625916,0.6979999542236328,0.6979999542236328,0,0,0.509,16.143545389175415
15,100,100,100,0,0,100,0.528734564781189,0.6999999284744263,0.6030750274658203,0.6999999284744263,0.6999999284744263,0,0,0.5175,7.071385622024536
