round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score
0,20,20,"[2.3205626010894775, 2.3205294609069824, 2.3207504749298096, 2.3198299407958984, 2.320923089981079, 2.3212292194366455, 2.321683883666992, 2.3208248615264893, 2.3204081058502197, 2.320530652999878, 2.3222644329071045, 2.3202786445617676, 2.321093797683716, 2.321769952774048, 2.319136381149292, 2.3220789432525635, 2.319809675216675, 2.321903944015503, 2.320146083831787, 2.31893253326416]",0,"[1.0, 0.8333333333333334, 0.5, 0.5833333333333334, 0.5833333333333334, 1.0, 0.5, 1.0, 0.5833333333333334, 0.5, 1.0, 0.6666666666666666, 1.0, 0.5833333333333334, 0.6666666666666666, 1.0, 0.9166666666666666, 0.8333333333333334, 1.0, 0.5833333333333334]","[0.9862884160756501, 0.5716312056737589, 0.46335697399527187, 0.491725768321513, 0.46335697399527187, 0.7843971631205674, 0.46477541371158393, 0.9735224586288416, 0.46335697399527187, 0.46335697399527187, 0.9943262411347518, 0.46335697399527187, 0.908274231678487, 0.5366430260047281, 0.46335697399527187, 0.9881796690307328, 0.9815602836879432, 0.9026004728132387, 0.8997635933806146, 0.46335697399527187]",0.7666666666666666,0.6863593380614657,0.0
1,20,20,"[2.302769184112549, 2.3030073642730713, 2.3030357360839844, 2.3030006885528564, 2.302980661392212, 2.3029515743255615, 2.3029868602752686, 2.3029327392578125, 2.3029019832611084, 2.3028995990753174, 2.302980661392212, 2.3031630516052246, 2.302949905395508, 2.3029189109802246, 2.302933931350708, 2.3029708862304688, 2.3028481006622314, 2.3029868602752686, 2.3029768466949463, 2.302953004837036]",0,"[0.6666666666666666, 1.0, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667, 0.5, 0.5833333333333334, 0.5, 0.6666666666666666, 0.4166666666666667, 0.25, 0.4166666666666667, 0.5833333333333334, 0.5833333333333334, 0.5, 0.6666666666666666, 0.4166666666666667, 0.5, 0.5833333333333334]","[0.46335697399527187, 0.9446808510638298, 0.46713947990543736, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.5366430260047281, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.5314420803782506, 0.46335697399527187]",0.5249999999999999,0.49468085106382975,0.46335697399527187
2,20,20,"[2.2799184322357178, 2.2794415950775146, 2.2836930751800537, 2.2827651500701904, 2.2808775901794434, 2.2779972553253174, 2.278029203414917, 2.281550168991089, 2.2828209400177, 2.2773208618164062, 2.2813007831573486, 2.284571647644043, 2.279691457748413, 2.278268337249756, 2.282275915145874, 2.274855375289917, 2.2839412689208984, 2.2863786220550537, 2.2774178981781006, 2.2840464115142822]",0,"[0.5, 0.5, 0.3333333333333333, 0.4166666666666667, 0.5, 0.6666666666666666, 0.5, 0.5833333333333334, 0.4166666666666667, 0.5833333333333334, 0.4166666666666667, 0.3333333333333333, 0.5833333333333334, 0.5, 1.0, 0.5833333333333334, 0.75, 0.3333333333333333, 0.6666666666666666, 0.25]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.9914893617021276, 0.46335697399527187, 0.5366430260047281, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5208333333333333,0.4934278959810875,0.46335697399527187
3,20,20,"[2.244314432144165, 2.240225076675415, 2.2445433139801025, 2.2360098361968994, 2.2460238933563232, 2.2484567165374756, 2.2421348094940186, 2.2475903034210205, 2.25062894821167, 2.2521984577178955, 2.2490384578704834, 2.237542152404785, 2.249955892562866, 2.249896287918091, 2.2490274906158447, 2.244239568710327, 2.2509567737579346, 2.241753578186035, 2.254021644592285, 2.2521371841430664]",0,"[0.4166666666666667, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.4166666666666667, 0.5, 0.4166666666666667, 0.3333333333333333, 0.5, 0.6666666666666666, 0.3333333333333333, 0.4166666666666667, 0.5, 0.5833333333333334, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4791666666666665,0.4633569739952719,0.46335697399527187
4,20,20,"[2.2414257526397705, 2.249868631362915, 2.241971731185913, 2.2397146224975586, 2.2380788326263428, 2.249682664871216, 2.24306321144104, 2.2507054805755615, 2.244292974472046, 2.2472853660583496, 2.2422378063201904, 2.2330949306488037, 2.2450013160705566, 2.240870475769043, 2.256873369216919, 2.2651965618133545, 2.246593713760376, 2.244347333908081, 2.251033067703247, 2.2483317852020264]",0,"[0.5, 0.4166666666666667, 0.5833333333333334, 0.6666666666666666, 0.5833333333333334, 0.3333333333333333, 0.4166666666666667, 0.5, 0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 0.75, 0.5, 0.5833333333333334, 0.5, 0.75, 0.5, 0.5833333333333334, 0.3333333333333333, 0.4166666666666667]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.7527186761229314, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5166666666666667,0.47782505910165485,0.4846335697399527
5,20,20,"[2.2490341663360596, 2.246290445327759, 2.2431414127349854, 2.2376174926757812, 2.2479875087738037, 2.252159595489502, 2.2453582286834717, 2.244720220565796, 2.250553607940674, 2.245785713195801, 2.2398619651794434, 2.2322702407836914, 2.2438862323760986, 2.2512128353118896, 2.235975503921509, 2.2413980960845947, 2.238703966140747, 2.2475335597991943, 2.2373669147491455, 2.2460854053497314]",0,"[0.5833333333333334, 0.6666666666666666, 0.5, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5, 0.6666666666666666, 0.8333333333333334, 0.4166666666666667, 0.5833333333333334, 0.5, 0.5, 0.4166666666666667, 0.3333333333333333, 0.6666666666666666, 0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.5833333333333334]","[0.5881796690307328, 0.5886524822695035, 0.5862884160756501, 0.5815602836879432, 0.583451536643026, 0.5829787234042553, 0.46335697399527187, 0.5820330969267139, 0.5839243498817966, 0.46335697399527187, 0.46335697399527187, 0.5981087470449172, 0.46335697399527187, 0.46335697399527187, 0.5872340425531914, 0.584869976359338, 0.5877068557919621, 0.5895981087470449, 0.5919621749408983, 0.46335697399527187]",0.5541666666666667,0.5498345153664304,0.4765957446808511
6,20,20,"[2.2493724822998047, 2.245004892349243, 2.248403549194336, 2.2353503704071045, 2.244001865386963, 2.2620410919189453, 2.237170934677124, 2.2406904697418213, 2.2583367824554443, 2.2559614181518555, 2.256394386291504, 2.2495758533477783, 2.2451653480529785, 2.24865984916687, 2.24304461479187, 2.2480833530426025, 2.246572732925415, 2.2516775131225586, 2.2407429218292236, 2.2360026836395264]",0,"[0.4166666666666667, 0.4166666666666667, 0.5, 0.6666666666666666, 0.5, 0.16666666666666666, 0.5833333333333334, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.4166666666666667, 0.5, 0.4166666666666667, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.6666666666666666, 0.6666666666666666]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.48749999999999993,0.4633569739952719,0.46335697399527187
7,20,20,"[2.2489306926727295, 2.2256948947906494, 2.235947370529175, 2.24219012260437, 2.2414989471435547, 2.2495200634002686, 2.243469715118408, 2.242084264755249, 2.2338473796844482, 2.2564077377319336, 2.2502834796905518, 2.247877359390259, 2.243837356567383, 2.2538962364196777, 2.239483594894409, 2.246803045272827, 2.2437984943389893, 2.230825185775757, 2.2510223388671875, 2.240765333175659]",0,"[0.4166666666666667, 0.8333333333333334, 0.6666666666666666, 0.5833333333333334, 0.4166666666666667, 0.3333333333333333, 0.5833333333333334, 0.5, 0.75, 0.3333333333333333, 0.5, 0.4166666666666667, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5, 0.3333333333333333, 0.6666666666666666, 0.5, 0.5]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5041666666666667,0.4633569739952719,0.46335697399527187
8,20,20,"[2.2493650913238525, 2.2591936588287354, 2.239311695098877, 2.245513677597046, 2.2441253662109375, 2.250633955001831, 2.248615026473999, 2.2581357955932617, 2.247199535369873, 2.2462575435638428, 2.2392923831939697, 2.2415144443511963, 2.243879795074463, 2.2483301162719727, 2.244065046310425, 2.2384214401245117, 2.2510242462158203, 2.251197576522827, 2.248889446258545, 2.2492763996124268]",0,"[0.4166666666666667, 0.16666666666666666, 0.6666666666666666, 0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.5, 0.3333333333333333, 0.5, 0.4166666666666667, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 0.5]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4916666666666667,0.4633569739952719,0.46335697399527187
9,20,20,"[2.239445447921753, 2.2370517253875732, 2.2433879375457764, 2.233035087585449, 2.2376508712768555, 2.2499234676361084, 2.247093439102173, 2.2389092445373535, 2.247424840927124, 2.234814405441284, 2.2380411624908447, 2.2372453212738037, 2.247390031814575, 2.2350151538848877, 2.254796266555786, 2.2339224815368652, 2.246990442276001, 2.2334649562835693, 2.251293420791626, 2.249876022338867]",0,"[0.5, 0.5, 0.5833333333333334, 0.6666666666666666, 0.5833333333333334, 0.4166666666666667, 0.25, 0.5, 0.4166666666666667, 0.6666666666666666, 0.5, 0.6666666666666666, 0.4166666666666667, 0.5, 0.16666666666666666, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.4166666666666667]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4708333333333334,0.4633569739952719,0.46335697399527187
